"","phi_sw_sale_gr3","phi_rho_y","phi_invest_to_sale","phi_restate","phi_b_bv_to_sale_abs_r","phi_detect","phi_b_bv_to_sale_abs_d","phi_detect_2_1","phi_fcf_fcf","phi_fcf_ib","phi_fcf_invest","phi_ib_ib","phi_ib_invest","phi_invest_invest","phi_fcf_fcf_d","phi_fcf_ib_d","phi_fcf_invest_d","phi_fcf_b_d","phi_ib_ib_d","phi_ib_invest_d","phi_ib_b_d","phi_invest_invest_d","phi_invest_b_d","phi_b_b_d","phi_beta_lag","phi_beta","phi_beta_lead","phi_bv_bv_d","phi_skew_bv_d"
"phi_sw_sale_gr3",47039919351.4742,3039.50531630817,-4.26288372048821e-09,9.96361336126425e-10,448.213399270514,6.40716979979827e-10,3462.99830067585,-25111596634.3188,573.005418299957,-266.184649520094,-1966.22080404699,17522.1953397212,233.751240991919,4988.74023479398,137131.494960346,34442.1701133362,-14306.7981141651,43345.9895508086,11947.1905766197,-19904.4977040443,37568.0516914593,3063.83449966484,14550.7799499089,75087.3866989296,1535.74815220133,-657.317849603433,-1754.93399254914,632.183116730747,-259176.670151339
"phi_rho_y",3039.50531630817,7.32196518618914,1.05596727705608e-14,-2.8579882552192e-16,-0.00480007467541561,-5.0692346359669e-17,-0.0116037373199474,-260.967006571358,0.159619311397607,-0.102258025726854,0.0207734236055936,0.111946802114904,0.00979889485449461,0.0119748505727531,-0.255957365786678,0.108751823203524,0.0437847388158951,0.105304124464742,0.646387131663207,0.028288763090234,0.158202235875549,0.0236716066336719,0.0342545815928668,0.0306299369090725,0.131901712759114,-0.0308686059122509,0.177495881706869,-0.00121238012392947,1.71320213348334
"phi_invest_to_sale",-4.26288372048821e-09,1.05596727705608e-14,4.57633646397975e-27,-1.31595171068448e-28,-1.13276632140474e-16,-6.79970573665756e-29,-1.35849746821623e-16,2.89135054886381e-09,7.50602328096188e-16,-1.24723434981912e-17,4.77853322338883e-16,2.03728553246858e-15,-2.74574229474169e-16,-3.41578561927211e-16,-1.20947278984976e-15,1.06649201068734e-15,8.71899661526095e-17,-3.19704859245826e-16,3.71395237092184e-15,-9.16982615790142e-17,-1.41645652833313e-15,6.1858421195067e-18,8.78759505096429e-18,1.4811401013986e-15,2.43569868712971e-16,4.0797667797633e-16,1.26236505652122e-15,-9.44691998951789e-18,1.31875554218282e-14
"phi_restate",9.96361336126425e-10,-2.8579882552192e-16,-1.31595171068448e-28,1.59649963261177e-28,1.05386147617073e-16,4.86406509361584e-29,5.77185755506916e-17,-8.84791156369982e-10,-2.06884829021884e-16,3.33409431389058e-16,-6.49305169090658e-17,6.30987227615192e-16,6.56370573161403e-17,1.20542712766682e-16,4.44291461355123e-15,1.07185307194625e-14,-1.59145697221184e-15,2.67989008380355e-15,-5.27966549802474e-14,-1.74422384204672e-15,-1.38613785252894e-14,-6.93890931979378e-16,-4.70391101997861e-15,4.55139605205984e-15,-7.85579976565851e-18,1.55897888713494e-16,-5.87480718499396e-16,3.39279796115306e-17,-7.65152676267734e-15
"phi_b_bv_to_sale_abs_r",448.213399270514,-0.00480007467541561,-1.13276632140474e-16,1.05386147617073e-16,2.05519481551772,-2.0198007785585e-16,1.54758022554227,-2841.27292150607,0.0578116910285329,0.0342927509287011,0.00344784031719773,-0.0159996220258308,-0.000940189954688381,-0.00427298430544697,12.489881524231,6.44468701010643,0.0993493941669431,-11.5081845537971,-1.47429993397968,0.0641848013139008,-5.12880436350384,-0.430951743880036,-0.240681761394139,6.46818509613487,-0.0112093141264532,0.0255780160141382,0.0295365678260621,0.476581722068121,-119.459758828595
"phi_detect",6.40716979979827e-10,-5.0692346359669e-17,-6.79970573665756e-29,4.86406509361584e-29,-2.0198007785585e-16,7.46826144947387e-29,-4.87279978716158e-17,-9.32997882400248e-10,5.07773105435073e-16,2.04845423742571e-16,-8.92693351062843e-17,1.38481237426663e-15,4.11291728396819e-17,8.69605828908436e-17,-4.24852045178118e-15,-9.51463267510944e-15,-1.95012848896062e-15,-2.34850356661035e-16,3.42790267994796e-14,1.67502377426833e-15,2.58361301632926e-15,-1.16161022566906e-15,-3.46040959276511e-15,-4.55861010119523e-16,-6.7143228232754e-17,5.25731420964769e-17,-4.00597878773735e-17,-3.23223945706869e-18,5.44705060084141e-15
"phi_b_bv_to_sale_abs_d",3462.99830067585,-0.0116037373199474,-1.35849746821623e-16,5.77185755506916e-17,1.54758022554227,-4.87279978716158e-17,1.23316253958413,-5628.82195557434,0.0150223792957895,0.0190490537589684,0.00441856551814563,-0.0326961282483062,-0.000491921137205475,-0.00307104747328924,6.99694864129126,4.16498740387276,0.24134345993765,-9.42499820650917,-1.88806132267535,0.0464627289202673,-4.98709981772926,-0.295695712923082,-0.0100039483382982,4.80177583596099,-0.0114768666884618,0.0204546831614968,0.0294217572599395,0.362318203741087,-97.2368169613835
"phi_detect_2_1",-25111596634.3188,-260.967006571358,2.89135054886381e-09,-8.84791156369982e-10,-2841.27292150607,-9.32997882400248e-10,-5628.82195557434,27176247663.4678,23.5250932645971,-804.693300017729,1492.72400409547,-12812.4855111479,-303.674515421499,-3343.73033446394,-256067.666129996,-34050.4101693531,38320.5424517355,-51056.4321938152,-235859.761785271,18738.7224105212,-46600.7316293795,1633.91566166592,6532.27166552578,-151573.331236065,-1257.0111333959,-16.0549940710465,1823.48525974584,-1270.65318126348,453815.19946086
"phi_fcf_fcf",573.005418299957,0.159619311397607,7.50602328096188e-16,-2.06884829021884e-16,0.0578116910285329,5.07773105435073e-16,0.0150223792957895,23.5250932645971,5.08731065085795,1.11973896332727,-0.0817132093795891,2.08141551275373,-0.0790569447137441,0.173053154128891,7.14434110942149,0.688144608380189,-0.439041647784589,0.884801429318576,2.82750165263201,-0.0743955705059174,1.74677504868166,-0.113014334049182,-0.178664687612217,0.295455043452842,-0.229909021376926,-0.223004590309979,-0.0766880585572567,0.00280097317640337,-0.0357826873292909
"phi_fcf_ib",-266.184649520094,-0.102258025726854,-1.24723434981912e-17,3.33409431389058e-16,0.0342927509287011,2.04845423742571e-16,0.0190490537589684,-804.693300017729,1.11973896332727,2.31504855585752,-0.0631323576388334,1.20422755834608,-0.0619054023804399,0.0110116243035587,2.01292450711464,2.12735378721409,-0.212410926979014,0.112698962805512,0.458581908373418,-0.22387060784044,0.386205700704857,-0.00771720717283251,-0.102297772749674,0.0907370359685922,-0.309786622034772,1.51372669453163,-0.249012387855264,0.00505199185529349,-1.07449356725866
