"","phi_sw_sale_gr3","phi_rho_y","phi_invest_to_sale","phi_restate","phi_b_bv_to_sale_abs_r","phi_detect","phi_b_bv_to_sale_abs_d","phi_detect_2_1","phi_fcf_fcf","phi_fcf_ib","phi_fcf_invest","phi_ib_ib","phi_ib_invest","phi_invest_invest","phi_fcf_fcf_d","phi_fcf_ib_d","phi_fcf_invest_d","phi_fcf_b_d","phi_ib_ib_d","phi_ib_invest_d","phi_ib_b_d","phi_invest_invest_d","phi_invest_b_d","phi_b_b_d","phi_beta_lag","phi_beta","phi_beta_lead","phi_bv_bv_d","phi_skew_bv_d"
"phi_sw_sale_gr3",16492585846.8517,156.763701618821,1.27710526384219e-09,1.06152494678624e-11,32.5061679895115,7.86210400878447e-11,328.200109719691,2207223938.79493,5350.87100812908,-16018.7200578241,-448.398031737166,10762.8284481683,4058.11579979199,-3926.26079805644,18894.7669410113,6535.31044932237,-3666.80711732729,-2613.00352660205,15083.0857404497,-1816.67571210121,381.888889643322,1414.11745640633,1852.14263710876,3508.10371859114,11938.5467325613,-7807.91526637938,-5285.00452918972,73.5443143557968,19546.4465441976
"phi_rho_y",156.763701618821,7.69579578739667,-5.65257144366048e-15,8.56563833176403e-18,0.00151111752315088,4.79834470832429e-18,-0.0507604045796682,200.295204752758,0.254424533239597,0.167097455572327,-0.0125894918189663,0.39210058908226,-0.0939947493107195,0.0421534275503144,-0.136285978661436,-0.05166607918707,-0.012071200081464,-0.216324207998873,-0.155043335328465,0.037707675309555,0.0405640223568721,-0.0313513255887343,-0.0196847101779531,0.152299687010788,-0.0814081087705705,0.0269261150432929,-0.036817131066934,0.00762140230591825,-5.96861341078969
"phi_invest_to_sale",1.27710526384219e-09,-5.65257144366048e-15,3.37914519142056e-28,-1.42964892337994e-31,3.15146947623946e-18,1.46380923027938e-29,-2.04725138741314e-18,3.90448495877117e-10,7.9764171543818e-16,-1.30920836382731e-15,-8.51341584528557e-17,1.99872140567414e-15,2.89688462186681e-16,-8.28288659014359e-17,1.19962377773283e-16,-1.98251724379733e-16,-4.46259649586076e-17,1.37163264549476e-17,-3.55212061130143e-16,4.16846336143514e-17,8.54419433948271e-17,2.19880521993882e-17,1.8340482306092e-17,1.21379337076756e-17,1.21377109230911e-15,-7.41502504098409e-16,-9.2354482650846e-16,1.42924424634241e-18,-3.64678293530604e-18
"phi_restate",1.06152494678624e-11,8.56563833176403e-18,-1.42964892337994e-31,2.00959742549618e-30,-1.72465247963874e-17,4.24407785697898e-32,1.40008107133771e-18,1.50723105087242e-13,-2.12296919995076e-17,-6.42753821369074e-17,-1.46918007237955e-17,-6.85012952533504e-17,4.19751430605117e-17,-3.11266366043427e-17,-3.12566989248503e-17,-2.9372190709758e-17,1.59222112105257e-18,3.53777756088634e-18,1.67602598916579e-17,-2.46857248701215e-19,3.0670612716171e-18,-8.53328579920668e-19,-4.08221754605033e-18,-1.11795947286995e-17,9.36861551574617e-17,-1.65034212183048e-17,-3.83950686093947e-17,-1.5962218960843e-19,2.63114149265134e-17
"phi_b_bv_to_sale_abs_r",32.5061679895115,0.00151111752315088,3.15146947623946e-18,-1.72465247963874e-17,0.00420870951344721,1.00661737283208e-17,0.00703245448909129,20.6460220052893,-0.00554461216108836,5.52470016731573e-05,-0.00042082379984629,-0.000937390649083912,-0.00112861171338605,0.000125592787037029,-0.0776934724419899,-0.0362637131882243,-0.00180824337540483,0.00676347114371977,-0.0135969178623743,-0.000190186195055,0.0040360191817348,-0.0027543706845636,-0.0137650927325364,-0.0564828559090477,0.00145544884364956,0.00102795130715627,0.00018583617752313,9.24260574641588e-07,0.133435392147816
"phi_detect",7.86210400878447e-11,4.79834470832429e-18,1.46380923027938e-29,4.24407785697898e-32,1.00661737283208e-17,1.52934182384772e-29,-1.12523540716748e-16,7.96954165624236e-11,-4.47924798497318e-17,-2.34624162957394e-16,3.85211883987117e-17,-1.23049920557502e-16,2.03187841836702e-17,-1.20936309385025e-17,-5.90234073065617e-15,-7.00515009384759e-15,3.47896196290487e-15,6.69384786907852e-15,-1.58578117164854e-14,1.36148956457835e-15,3.42844721769559e-15,-5.31792774308501e-16,-1.17739171111964e-15,9.93911535306375e-16,4.03894516837783e-16,-1.0462770142814e-16,-1.90490932924012e-16,2.83454947037986e-17,2.47091296080233e-15
"phi_b_bv_to_sale_abs_d",328.200109719691,-0.0507604045796682,-2.04725138741314e-18,1.40008107133771e-18,0.00703245448909129,-1.12523540716748e-16,0.380813029795704,-99.1899165782498,-0.0267172606626863,-0.0313497567305306,0.0037291466811718,-0.0191820660942899,0.00324401808852293,-0.00249222962122588,0.724451329099238,-0.701904447067204,-0.237686012486127,0.166312810686014,-0.460455422375581,0.0430086002255027,0.0697298616335487,-0.0223281738627229,-0.154444215335773,-1.0837356545909,0.0250525251850075,-0.0190492471958016,0.00470363604229009,0.00230982511590674,41.9343253475559
"phi_detect_2_1",2207223938.79493,200.295204752758,3.90448495877117e-10,1.50723105087242e-13,20.6460220052893,7.96954165624236e-11,-99.1899165782498,1698999067.77835,-149.35241300418,-4597.67442132354,-3.1225323811688,-483.395899763092,825.502076208916,-17.6627940148218,-48729.1367327211,-131028.141038717,16144.7273397541,9430.94852398706,-226222.250611263,29657.6008125159,48621.8003601118,-3018.56210050785,-4758.59612568301,25012.8408653561,4725.44333002735,-2132.39313156082,-2789.94676899653,62.3462868664848,9053.40380558209
"phi_fcf_fcf",5350.87100812908,0.254424533239597,7.9764171543818e-16,-2.12296919995076e-17,-0.00554461216108836,-4.47924798497318e-17,-0.0267172606626863,-149.35241300418,3.29680924899172,0.518420139749569,-0.0307302950220305,0.698731838140699,-0.0658164220412212,0.00848034067316578,2.61783478360499,1.19359664349703,0.02080350745091,0.6479210834281,0.759909330525168,-0.0320480054451898,-0.258294471983069,0.00865404461473524,0.0301985089180903,-0.0820389645954561,-0.12448449012075,-0.110768340340147,-0.0501100074963325,-0.00177547139483294,0.311111230863671
"phi_fcf_ib",-16018.7200578241,0.167097455572327,-1.30920836382731e-15,-6.42753821369074e-17,5.52470016731573e-05,-2.34624162957394e-16,-0.0313497567305306,-4597.67442132354,0.518420139749569,2.19764584593858,-0.113786543305597,0.690460726935481,-0.0583779668287395,-0.0203968575544701,1.09937877061256,2.30406923504528,-0.171767335098895,-0.239620645126589,2.01956582023887,-0.223712785096272,-0.247085809849905,0.0549761087727138,0.0391388827703007,-0.223880712692756,-0.510024938666338,1.1503238827317,-0.250940526613038,-0.00285124874647274,-1.17341813546758
