"","phi_sw_sale_gr3","phi_rho_y","phi_invest_to_sale","phi_restate","phi_b_bv_to_sale_abs_r","phi_detect","phi_b_bv_to_sale_abs_d","phi_detect_2_1","phi_fcf_fcf","phi_fcf_ib","phi_fcf_invest","phi_ib_ib","phi_ib_invest","phi_invest_invest","phi_fcf_fcf_d","phi_fcf_ib_d","phi_fcf_invest_d","phi_fcf_b_d","phi_ib_ib_d","phi_ib_invest_d","phi_ib_b_d","phi_invest_invest_d","phi_invest_b_d","phi_b_b_d","phi_beta_lag","phi_beta","phi_beta_lead","phi_bv_bv_d","phi_skew_bv_d"
"phi_sw_sale_gr3",47039919351.4742,3039.50531630817,-4.26288372048821e-09,3.74973980222301e-10,55.6404462535211,2.30201140851471e-12,1552.49340322182,20481522922191.3,573.005418299957,-266.184649520094,-1966.22080404699,17522.1953397212,233.751240991919,4988.74023479398,102011.240483643,43361.3000105685,-21709.2943094404,26062.1268558468,17729.7424898958,-22818.0163269128,12970.0597000084,2600.84120941412,4475.97663716376,41614.4177830146,1535.74815220133,-657.317849603433,-1754.93399254914,415.161858802328,-111580.697260471
"phi_rho_y",3039.50531630817,7.32196518618914,1.05596727705608e-14,-6.4696715326298e-16,0.00637516872104638,-5.34032227797118e-16,0.012449544764295,-888435.206549818,0.159619311397607,-0.102258025726854,0.0207734236055936,0.111946802114904,0.00979889485449461,0.0119748505727531,-0.268059820693754,-0.230228238666041,0.213706759884498,0.260144414962537,0.243556674877264,0.150716161132155,0.242101716744753,-0.178518705127841,-0.0263473456830539,0.0798059698645985,0.131901712759114,-0.0308686059122509,0.177495881706869,0.00647034308392272,-0.637871549670025
"phi_invest_to_sale",-4.26288372048821e-09,1.05596727705608e-14,4.57633646397975e-27,-2.24514912731032e-29,-4.32692879819642e-17,3.65630586117436e-29,-7.11741085823248e-17,-2.76592226311839e-06,7.50602328096188e-16,-1.24723434981912e-17,4.77853322338883e-16,2.03728553246858e-15,-2.74574229474169e-16,-3.41578561927211e-16,-8.04778728418132e-16,1.69596437302221e-15,8.7146391445187e-17,2.11205050592501e-16,2.37880923911434e-15,-2.30681770706942e-16,-2.09544862331912e-16,6.7029865454942e-17,1.697853667532e-16,4.62409251535305e-16,2.43569868712971e-16,4.0797667797633e-16,1.26236505652122e-15,-1.09447661333925e-17,4.80331357158024e-15
"phi_restate",3.74973980222301e-10,-6.4696715326298e-16,-2.24514912731032e-29,2.06367743760839e-28,-1.61586855088174e-16,1.2134568645029e-28,-2.50726076328922e-16,-6.46999475003808e-08,-4.05630156847292e-16,5.84405186219469e-16,-6.21649416709178e-17,-2.89443304084279e-16,1.80770029336861e-16,-1.54677908428297e-16,1.32846902159558e-14,1.89279617215904e-14,-2.24460954101576e-15,4.29338157564103e-15,-3.204031637276e-14,-3.20282072572859e-15,-1.17846936527327e-14,1.22492328336744e-16,-2.25820223620048e-15,9.7661207310924e-16,-2.18527281670153e-16,3.44223192522464e-16,-7.39662266571621e-16,3.68460155908402e-18,8.48828079283833e-15
"phi_b_bv_to_sale_abs_r",55.6404462535211,0.00637516872104638,-4.32692879819642e-17,-1.61586855088174e-16,0.725978113134358,-9.54561769224662e-17,0.730149902059241,-90495.012315708,0.0341805030190007,0.032451191174821,-0.0146661372571484,-0.0369444349968131,-0.0169379526783243,0.0152370535903191,2.95080800350134,1.16376438849271,0.146146369600999,-2.80792284110824,-1.4463913054751,0.0840907622509776,-1.31898319410772,-0.247459835001359,0.00298891048813624,1.87390884528911,0.00481121292475809,0.0231813365102573,0.0126863103558741,0.254239933005517,-71.3125868790344
"phi_detect",2.30201140851471e-12,-5.34032227797118e-16,3.65630586117436e-29,1.2134568645029e-28,-9.54561769224662e-17,1.4543263492368e-28,-1.25086805515369e-16,-3.55190177818091e-07,-4.4989746679836e-16,2.01686737420201e-16,-3.57358324591634e-17,-5.08603331490028e-16,1.92089086564077e-16,-2.49750411919818e-16,1.73249286494295e-14,1.46550794027208e-14,-2.84171391299333e-15,2.34854236111771e-15,-1.47054300042339e-15,-2.43979669072023e-15,-3.65912014689431e-15,-1.61387759922409e-16,-6.17208620719736e-16,4.26385516850606e-15,-3.8101790110559e-16,1.79288679662903e-16,-9.99241917088026e-17,3.53678819246737e-17,-5.65291689378192e-16
"phi_b_bv_to_sale_abs_d",1552.49340322182,0.012449544764295,-7.11741085823248e-17,-2.50726076328922e-16,0.730149902059241,-1.25086805515369e-16,0.979764558295947,207002.836049733,0.0434573843220221,0.0443183642666571,-0.0347095674036792,-0.040108689740542,-0.0386445262622249,0.0393282658197694,2.51950095014069,0.457006919020604,0.353891168389445,-2.18814326874959,-2.39713436759203,0.235263278420755,-1.22893092266618,-0.360495966816351,-0.0453650344201388,0.879481234434413,0.0256849549392882,0.0279332706133832,0.00320796522013543,0.367646073487063,-80.6857230959111
"phi_detect_2_1",20481522922191.3,-888435.206549818,-2.76592226311839e-06,-6.46999475003808e-08,-90495.012315708,-3.55190177818091e-07,207002.836049733,25758540508107344,2815516.04600833,1408834.26106248,-1365991.07051822,14636692.1111989,1014008.29466583,2949207.95989631,61703958.6313796,8206582.95112237,-15939192.2065867,-5525269.69619697,44959879.2249079,-6942317.12062292,-3169387.64916131,-700464.255323169,-4347376.47085877,31965706.3378673,2279102.34728903,153660.511275179,-3257027.8406707,518254.946502728,-74403284.1869316
"phi_fcf_fcf",573.005418299957,0.159619311397607,7.50602328096188e-16,-4.05630156847292e-16,0.0341805030190007,-4.4989746679836e-16,0.0434573843220221,2815516.04600833,5.08731065085795,1.11973896332727,-0.0817132093795891,2.08141551275373,-0.0790569447137441,0.173053154128891,7.15775091006735,-0.0305444661607916,-0.571630556197861,1.32749574938324,2.04771041763938,-0.195369863126272,0.616769855306181,0.0194366725113903,-0.00568253468082575,1.19108734387726,-0.229909021376926,-0.223004590309979,-0.0766880585572567,0.0222907727539151,-2.22259099152733
"phi_fcf_ib",-266.184649520094,-0.102258025726854,-1.24723434981912e-17,5.84405186219469e-16,0.032451191174821,2.01686737420201e-16,0.0443183642666571,1408834.26106248,1.11973896332727,2.31504855585752,-0.0631323576388334,1.20422755834608,-0.0619054023804399,0.0110116243035587,2.02569747235361,2.14527768909339,-0.423127381099788,0.88108846737985,0.281488039143278,-0.439348539527983,0.316459248892406,0.187861742619949,-0.0172725588744084,0.506285372462487,-0.309786622034772,1.51372669453163,-0.249012387855264,0.0200392462337089,-3.14865766377314
