"","phi_sw_sale_gr3","phi_rho_y","phi_invest_to_sale","phi_restate","phi_b_bv_to_sale_abs_r","phi_detect","phi_b_bv_to_sale_abs_d","phi_detect_2_1","phi_fcf_fcf","phi_fcf_ib","phi_fcf_invest","phi_ib_ib","phi_ib_invest","phi_invest_invest","phi_fcf_fcf_d","phi_fcf_ib_d","phi_fcf_invest_d","phi_fcf_b_d","phi_ib_ib_d","phi_ib_invest_d","phi_ib_b_d","phi_invest_invest_d","phi_invest_b_d","phi_b_b_d","phi_beta_lag","phi_beta","phi_beta_lead","phi_bv_bv_d","phi_skew_bv_d"
"phi_sw_sale_gr3",3782901467.35798,1846.99458345815,5.00946600462969e-10,1.34081271489765e-10,-582.043077184417,2.01046861125825e-10,-516.40361012708,-591187536.032322,-3756.89019507829,183.494323503902,-351.297752101559,2288.03449789163,34.9310740236663,31.4806229481161,-48712.4447203918,-10157.2525462021,2107.52411091649,-1185.81730357747,-5118.3811566432,7970.70405411674,-17652.1927031986,2082.82240845138,-5836.94727352452,-8434.09555695432,1101.79905395057,1618.02915536219,573.721322209185,-87.270426934425,49250.2871187071
"phi_rho_y",1846.99458345815,4.5020029159043,2.8281279281931e-15,-1.90266635106224e-16,0.000503723350299135,-3.64649554892463e-17,0.00709299416002116,-15061.7067273799,-0.00864200762058551,-0.140695848115381,0.00354799209825002,-0.111013522917688,-0.00234271526725179,0.00976705118419945,-0.251036036963355,-0.733168404566906,0.0193563269514199,0.281055092116887,0.273072412930756,0.076998949949877,0.0951831902492106,0.0115807461902983,-0.00773088048184172,0.125891695170052,0.100337995276661,-0.0309732502927457,0.134836059875285,0.00064369694089826,-0.988608207250345
"phi_invest_to_sale",5.00946600462969e-10,2.8281279281931e-15,1.56370544899639e-27,8.02572314067638e-29,-3.71421507682719e-17,4.62434012953133e-28,-5.88478118326705e-17,-7.22585965328224e-10,3.21996091570577e-15,-4.40491267499888e-16,2.28315977556467e-16,-6.94907203011217e-16,2.60012538976052e-16,-1.32808498124464e-16,5.02292760136541e-15,1.54204785587188e-16,-8.9992170957607e-17,-9.05680727538993e-16,8.86151928668122e-15,1.05496305383152e-16,6.28273100838431e-16,7.02762435066301e-17,2.98860639198494e-17,3.55569130832755e-15,-2.54927344053667e-17,-1.14571606982085e-15,-7.13059883297024e-16,1.92445119206706e-17,8.63203154227481e-16
"phi_restate",1.34081271489765e-10,-1.90266635106224e-16,8.02572314067638e-29,2.90391120060485e-28,-1.32894568049129e-16,7.90485564269738e-29,-1.54040138682464e-16,2.28054150591526e-09,-6.70739140776397e-16,5.48470796099396e-16,-1.43186940327872e-16,-6.09804382073221e-16,1.3966686798823e-16,1.11344816650658e-17,1.41684709394781e-14,2.00587617733883e-14,-2.33355034440566e-15,-5.80363894674229e-15,9.90673769548307e-14,1.29563058539998e-15,2.73797097661029e-15,7.96352200618384e-16,-1.29575774041001e-15,7.60943743991446e-15,9.10958607348387e-17,4.5004153184828e-16,-3.61153681759106e-16,2.74826700107598e-17,5.27357309408795e-15
"phi_b_bv_to_sale_abs_r",-582.043077184417,0.000503723350299135,-3.71421507682719e-17,-1.32894568049129e-16,0.701582229568692,2.94678376594031e-16,0.690843031713445,-3994.05561145433,0.0103116224583176,0.00273478487158845,0.0012711388488705,-0.0241388721702658,-0.000279551062890106,-0.000329951292839461,2.78464891264715,1.36042999782591,0.255044505201543,-3.05001942534531,-1.2348739718234,-0.184336147708474,-3.16397005063257,-0.0318288220093912,-0.0691087123454264,2.10084175902743,-0.00408004623395408,0.00907352060353656,0.0226164767949719,0.234418012833898,-23.4147231076285
"phi_detect",2.01046861125825e-10,-3.64649554892463e-17,4.62434012953133e-28,7.90485564269738e-29,2.94678376594031e-16,4.62928021484032e-28,4.3045210568753e-16,-2.6162159404118e-09,1.66087465668426e-15,-1.60089734886167e-16,-1.1288215100647e-16,-1.3916893971711e-15,1.40289758671424e-16,-1.21466051870445e-16,4.8113346242835e-14,-3.27428088993438e-14,5.3636780417762e-16,7.94442731943006e-15,-2.27177491703194e-14,2.36785505066588e-15,5.32579905175428e-16,1.08238278626366e-15,-4.93333977103921e-16,4.35207497780212e-14,3.3665062654864e-16,-1.40876329154889e-16,4.74201111282207e-16,1.69162191938752e-16,-6.27219307745894e-14
"phi_b_bv_to_sale_abs_d",-516.40361012708,0.00709299416002116,-5.88478118326705e-17,-1.54040138682464e-16,0.690843031713445,4.3045210568753e-16,0.846493980001405,-12265.0922095525,0.0265619864048464,-0.00638140448507203,5.04298486063424e-05,-0.0403750272659621,0.00160502432225588,0.00064518292950232,2.54185866953569,-2.31671253245792,0.0191422482430986,-2.78960930889082,-0.394422870367245,0.136456383690851,-3.80684991167287,0.0919772230205225,0.030552246827963,1.53914775569491,0.00710376451165773,0.00482904936199535,0.0251859761349929,0.2390994902445,-45.6554025937862
"phi_detect_2_1",-591187536.032322,-15061.7067273799,-7.22585965328224e-10,2.28054150591526e-09,-3994.05561145433,-2.6162159404118e-09,-12265.0922095525,202163077918.827,-20803.9963217292,35420.8174362209,331.729109810427,16062.3472484832,1251.81063648004,16.824919020248,504908.29069754,2217038.01955105,-110745.183237069,-411035.79083667,2626205.07912633,-129332.174448749,-380963.626107068,-6053.1200529207,5275.67940498244,-431592.460590881,-10271.7124610283,26960.1539691331,-6596.67405162985,-1354.89670388198,1030262.92429646
"phi_fcf_fcf",-3756.89019507829,-0.00864200762058551,3.21996091570577e-15,-6.70739140776397e-16,0.0103116224583176,1.66087465668426e-15,0.0265619864048464,-20803.9963217292,5.39180776478113,0.857347302607394,-0.0362448458167607,2.06497935260824,0.00458593132063045,0.0147519650829447,8.73215357907668,-1.13521027764465,-0.283867687051041,0.550247430652972,1.99069765064531,0.205414223828684,0.641718731439875,0.0851732612840704,0.0283383811760793,0.901734034242586,-0.190068628856633,-0.197484224376907,-0.10072716008298,-0.00359742479606912,-2.14514312575148
"phi_fcf_ib",183.494323503902,-0.140695848115381,-4.40491267499888e-16,5.48470796099396e-16,0.00273478487158845,-1.60089734886167e-16,-0.00638140448507203,35420.8174362209,0.857347302607394,2.47052371603892,-0.0175684772169247,0.894322788130463,-0.0204500905886567,0.0149518714535391,0.7440605134087,2.99927116331741,-0.149048320976138,-0.960818317841556,1.56123478985316,-0.0571148910310944,0.598857826116055,0.0230591031474169,-0.00631427129500636,-0.0482125353544683,-0.302706306323471,1.64186990032613,-0.219104763573545,0.00162152450873241,1.94259591269192
