"","phi_sw_sale_gr3","phi_rho_y","phi_invest_to_sale","phi_restate","phi_b_bv_to_sale_abs_r","phi_detect","phi_b_bv_to_sale_abs_d","phi_detect_2_1","phi_fcf_fcf","phi_fcf_ib","phi_fcf_invest","phi_ib_ib","phi_ib_invest","phi_invest_invest","phi_fcf_fcf_d","phi_fcf_ib_d","phi_fcf_invest_d","phi_fcf_b_d","phi_ib_ib_d","phi_ib_invest_d","phi_ib_b_d","phi_invest_invest_d","phi_invest_b_d","phi_b_b_d","phi_beta_lag","phi_beta","phi_beta_lead","phi_bv_bv_d","phi_skew_bv_d"
"phi_sw_sale_gr3",759907003.573206,-718.403114954043,9.49840458073014e-11,-4.3551237097559e-10,-355.889992071373,1.43135870624429e-10,71.8792203129015,1133499175.26022,46.6325159283862,-826.294519678238,-24.1686162461924,191.351980634863,-93.6096356151425,14.4564736308222,2486.5459235354,9773.57898025058,-940.128839460067,7581.45115013894,-1681.49108602716,427.949913792975,-8384.99701819389,67.9827344110255,1197.63486160368,-2769.50267750467,199.594485029474,193.278577235764,676.854595105818,170.321338780812,98.6386542704291
"phi_rho_y",-718.403114954043,6.77043812197145,-2.88382947040902e-15,-6.77840343002141e-16,0.0385813718528754,-8.26995845126796e-16,-0.0131003240678839,-1484.82373468128,0.00764388285852627,0.0151627466728241,-0.00111405674802307,0.0360235793306785,-0.0317970889791896,-0.00871173956966697,0.354876256298265,-0.0517707055583053,-0.0472023392012583,-0.422057922686452,-0.420299830019247,-0.00795123357772122,-0.629861275767698,0.0398008859901576,-0.054700811088178,-0.238329779311891,0.0525965733617521,0.0713620801114303,0.127510852088122,-0.0210765683038848,-9.63200958397617
"phi_invest_to_sale",9.49840458073014e-11,-2.88382947040902e-15,1.06899562456768e-27,-1.50592094138997e-28,-3.12499880212384e-15,1.41853057467311e-28,-4.68195159716182e-15,6.11471973370277e-10,4.41859638203781e-16,-1.77081411722268e-15,5.30121090361503e-16,-1.0238987411719e-15,6.38954664770299e-16,-3.72501955542233e-16,9.52063840394331e-15,1.43030280975692e-15,1.43637092631711e-15,-2.3793394798234e-15,-1.204564235302e-14,-1.27158589423809e-16,7.3753410366827e-16,3.6162151032604e-16,-1.04583231862079e-15,-7.92449444555048e-15,-1.21237691321874e-16,-1.13680465157766e-15,2.10236692341685e-16,-2.1902634161843e-15,5.84265024560467e-13
"phi_restate",-4.3551237097559e-10,-6.77840343002141e-16,-1.50592094138997e-28,2.29091058975034e-27,2.46192731076267e-16,-3.55682710732673e-30,-2.9839382923621e-16,-1.96031032985885e-09,1.10877267056426e-15,2.38258018308431e-15,-2.38883616654303e-16,1.64261886604533e-15,-3.38298845353074e-18,8.02488866953726e-17,2.72833390003608e-14,5.70788219234044e-15,-3.69213645286716e-16,-2.99505361445658e-14,-4.30032664861912e-14,-8.26558390193522e-15,3.30799064292798e-14,6.29738673613914e-16,-4.66966007293497e-15,8.40997009474155e-15,1.64768181532159e-15,2.09900391395285e-15,1.34234015630151e-15,-5.60328099156723e-16,4.46544715581886e-14
"phi_b_bv_to_sale_abs_r",-355.889992071373,0.0385813718528754,-3.12499880212384e-15,2.46192731076267e-16,0.731216456340189,5.86563897779364e-16,0.60794006250427,383.38591421071,0.000886242389795847,0.08203771550071,-0.00547388198372418,0.0532759399142827,-0.0106662098769091,0.00465430137651004,-1.32043243336771,-0.600321052748756,0.0772728831378067,0.246904860912529,-1.28687205789455,0.0957680782419672,0.844266307953342,0.00267291040741309,0.0268311902331867,0.526652873891972,-0.0166436811797529,0.0534205247153331,-7.66134150659836e-05,0.239839688834568,-48.9058105833156
"phi_detect",1.43135870624429e-10,-8.26995845126796e-16,1.41853057467311e-28,-3.55682710732673e-30,5.86563897779364e-16,1.07255347799659e-27,-1.18493260630824e-15,1.12243293870176e-09,2.02955462857359e-15,-5.22855067844548e-16,1.32280060690415e-16,6.51132769555194e-16,1.51863558930151e-16,1.09823783593846e-17,1.93582318811856e-14,-1.08993931779991e-14,-2.04865508652275e-15,-2.72060360745726e-14,-2.43733937361002e-14,-7.20774112162108e-15,-8.3769234610719e-16,8.97443338391194e-16,-4.59174749190697e-16,1.59312302785115e-14,5.17427189736894e-16,-2.69910525044723e-16,5.91083116892558e-16,-8.45466241384059e-16,1.7072775362455e-13
"phi_b_bv_to_sale_abs_d",71.8792203129015,-0.0131003240678839,-4.68195159716182e-15,-2.9839382923621e-16,0.60794006250427,-1.18493260630824e-15,1.00830095955543,798.515256497459,-0.0501483860229566,0.0379517310948553,-0.0070201437586021,0.0110766192480626,-0.0089920359038389,0.00822131912807502,-2.16375468954684,-1.22702857789127,0.206820293661518,0.15133318320416,-2.05866442092142,0.0604215823543012,-0.00609988927643648,-0.0100790125954923,0.0035878402726758,1.03902439266093,-0.0196893251649037,0.0286959793917504,-0.000483821356480664,0.492323963501756,-39.4853225278982
"phi_detect_2_1",1133499175.26022,-1484.82373468128,6.11471973370277e-10,-1.96031032985885e-09,383.38591421071,1.12243293870176e-09,798.515256497459,9403718504.58122,3142.47723654124,-2793.31071854039,127.072475717025,-6717.13113050138,183.531303748103,-11.8504480781038,13383.5311248699,-3457.38518119959,949.323681929388,-443.859329944401,2544.02892124554,2.82459066426896,7327.88202630677,166.756062277502,-130.667632226306,25153.1751774762,-1802.03336100596,-2213.27799991986,-1248.09527328504,171.050653511197,-37024.9419506361
"phi_fcf_fcf",46.6325159283862,0.00764388285852627,4.41859638203781e-16,1.10877267056426e-15,0.000886242389795847,2.02955462857359e-15,-0.0501483860229566,3142.47723654124,6.02740497464032,0.852500591033292,-0.0756320083527101,2.42225252131618,-0.0146837975335686,0.0108595552741506,5.32410461796073,0.760618773023479,-0.012982084962482,-1.16464403832938,0.980089286829458,-0.0377386312731418,0.317944004817338,-0.00139995042551115,0.226339005887662,0.466017451779765,-0.207148767552652,-0.386622726322813,-0.144626907637469,-0.0259850777811082,-0.609063419537492
"phi_fcf_ib",-826.294519678238,0.0151627466728241,-1.77081411722268e-15,2.38258018308431e-15,0.08203771550071,-5.22855067844548e-16,0.0379517310948553,-2793.31071854039,0.852500591033292,2.74248500342876,-0.0315401736680967,1.24424798614821,-0.0675920515083893,0.0170348292363289,1.73359272838023,2.47202047861007,-0.094411995586755,0.105403544460378,1.72742153769798,-0.110146496467844,0.0976184554422256,0.0139382721224977,0.0671736304551864,-0.54987604404851,-0.249843819326213,1.66619862531503,-0.197302295901531,0.00743715929780667,-3.31157167005342
"phi_fcf_invest",-24.1686162461924,-0.00111405674802307,5.30121090361503e-16,-2.38883616654303e-16,-0.00547388198372418,1.32280060690415e-16,-0.0070201437586021,127.072475717025,-0.0756320083527101,-0.0315401736680967,0.0664259861105189,-0.0317454710320207,0.0232408978710998,-0.00350655434071905,-0.0980088882958021,-0.131016695220023,0.0648449242164343,0.0773269374945076,-0.102492480781822,0.0324177285863198,0.00520643825707593,-0.00328592659981868,-0.0249277917316797,-0.0504235477759166,-0.00355353396636505,-0.00471205342420058,0.022636248619946,-0.00494861584886844,-0.206131169916023
"phi_ib_ib",191.351980634863,0.0360235793306785,-1.0238987411719e-15,1.64261886604533e-15,0.0532759399142827,6.51132769555194e-16,0.0110766192480626,-6717.13113050138,2.42225252131618,1.24424798614821,-0.0317454710320207,5.1176353841709,-0.0933670365766741,0.0328000885458278,1.70749213049016,1.13504631604724,-0.133525775648275,-0.820271540919148,5.11751355085949,-0.300749933296984,1.54993235439807,0.0716816475004636,-0.127165014758368,1.06105349309409,-0.00964134733097148,0.453265969536549,-0.0750985281497886,-0.0233473378817224,-8.39852964300906
"phi_ib_invest",-93.6096356151425,-0.0317970889791896,6.38954664770299e-16,-3.38298845353074e-18,-0.0106662098769091,1.51863558930151e-16,-0.0089920359038389,183.531303748103,-0.0146837975335686,-0.0675920515083893,0.0232408978710998,-0.0933670365766741,0.0724384216125216,-0.00668965495215469,-0.055905234022067,-0.140116946516119,0.0423647764363658,0.196314329007834,-0.195426763018283,0.108399644584897,-0.0449162955183939,-0.0223249923329934,0.0195815818869658,-0.0631821461448739,-0.00984961268342023,-0.0479953390441416,0.00373721416463674,-0.00507502446250164,0.4776548673679
"phi_invest_invest",14.4564736308222,-0.00871173956966697,-3.72501955542233e-16,8.02488866953726e-17,0.00465430137651004,1.09823783593846e-17,0.00822131912807502,-11.8504480781038,0.0108595552741506,0.0170348292363289,-0.00350655434071905,0.0328000885458278,-0.00668965495215469,0.0192473483676744,-0.00936565489668755,0.0923402354965821,-0.0122728887042161,-0.00408517564006184,0.0625073785874437,-0.0264297210779326,0.00920174244663345,0.0109335459929,-0.002825695464012,-0.0488386886201883,0.0030698139821284,0.0113147537741515,0.00175297260011614,0.00483278388004368,-0.386114515028736
"phi_fcf_fcf_d",2486.5459235354,0.354876256298265,9.52063840394331e-15,2.72833390003608e-14,-1.32043243336771,1.93582318811856e-14,-2.16375468954684,13383.5311248699,5.32410461796073,1.73359272838023,-0.0980088882958021,1.70749213049016,-0.055905234022067,-0.00936565489668755,336.466445202807,68.636053481313,-6.50045643548333,-37.3846300356214,34.254507371623,-1.32378422532733,0.796969678199588,-0.314379313591249,3.49651266503604,23.3951258605631,0.1542623585112,0.441928946312094,-0.202305512342714,-0.946510756443554,78.6202590749902
"phi_fcf_ib_d",9773.57898025058,-0.0517707055583053,1.43030280975692e-15,5.70788219234044e-15,-0.600321052748756,-1.08993931779991e-14,-1.22702857789127,-3457.38518119959,0.760618773023479,2.47202047861007,-0.131016695220023,1.13504631604724,-0.140116946516119,0.0923402354965821,68.636053481313,259.399982286558,-8.00477490331711,44.5854744664999,106.096928198267,-9.92673417860871,-26.9682753206474,1.46919885879234,3.20999129070437,-20.9211375674018,0.329354032861145,1.49218763482982,-0.117738067717672,-0.331007420752333,67.6322823305566
"phi_fcf_invest_d",-940.128839460067,-0.0472023392012583,1.43637092631711e-15,-3.69213645286716e-16,0.0772728831378067,-2.04865508652275e-15,0.206820293661518,949.323681929388,-0.012982084962482,-0.094411995586755,0.0648449242164343,-0.133525775648275,0.0423647764363658,-0.0122728887042161,-6.50045643548333,-8.00477490331711,5.89662413875935,1.32105553464761,-8.2942667986139,2.88269332480125,3.31448190304127,-0.345274467879817,-0.668114850092995,-0.117438350374558,-0.188580187866082,-0.135128332764526,-0.052661412887724,0.0419035541015817,-15.7868955890934
"phi_fcf_b_d",7581.45115013894,-0.422057922686452,-2.3793394798234e-15,-2.99505361445658e-14,0.246904860912529,-2.72060360745726e-14,0.15133318320416,-443.859329944401,-1.16464403832938,0.105403544460378,0.0773269374945076,-0.820271540919148,0.196314329007834,-0.00408517564006184,-37.3846300356214,44.5854744664999,1.32105553464761,222.625983588656,-8.66788408915777,2.45393585395902,29.0082902623558,-0.425506172567074,-3.07339870423119,-47.0867183710432,-0.285668221873759,0.405918866856355,0.635964379645678,0.262120324543796,-24.7882332968773
"phi_ib_ib_d",-1681.49108602716,-0.420299830019247,-1.204564235302e-14,-4.30032664861912e-14,-1.28687205789455,-2.43733937361002e-14,-2.05866442092142,2544.02892124554,0.980089286829458,1.72742153769798,-0.102492480781822,5.11751355085949,-0.195426763018283,0.0625073785874437,34.254507371623,106.096928198267,-8.2942667986139,-8.66788408915777,287.554940112087,-11.9068328860037,27.032544100241,2.20530910686069,-0.660855534396835,36.8035489915862,0.230362707495146,1.02587434583597,0.0530874538782971,-1.05301257611858,106.011031823624
"phi_ib_invest_d",427.949913792975,-0.00795123357772122,-1.27158589423809e-16,-8.26558390193522e-15,0.0957680782419672,-7.20774112162108e-15,0.0604215823543012,2.82459066426896,-0.0377386312731418,-0.110146496467844,0.0324177285863198,-0.300749933296984,0.108399644584897,-0.0264297210779326,-1.32378422532733,-9.92673417860871,2.88269332480125,2.45393585395902,-11.9068328860037,7.56362184229453,-1.30715901191579,-1.52725200082678,1.99972436640927,-1.8441957356551,-0.032561906501464,-0.0941325653540724,-0.103392059670219,0.0359613660886128,-2.07195965862647
"phi_ib_b_d",-8384.99701819389,-0.629861275767698,7.3753410366827e-16,3.30799064292798e-14,0.844266307953342,-8.3769234610719e-16,-0.00609988927643648,7327.88202630677,0.317944004817338,0.0976184554422256,0.00520643825707593,1.54993235439807,-0.0449162955183939,0.00920174244663345,0.796969678199588,-26.9682753206474,3.31448190304127,29.0082902623558,27.032544100241,-1.30715901191579,207.87236199585,1.09713985800814,-7.1483415358562,64.2610332802282,-0.225586860791059,0.0174868955336111,0.0371010888713596,-0.0286629769554641,-18.2303563961145
"phi_invest_invest_d",67.9827344110255,0.0398008859901576,3.6162151032604e-16,6.29738673613914e-16,0.00267291040741309,8.97443338391194e-16,-0.0100790125954923,166.756062277502,-0.00139995042551115,0.0139382721224977,-0.00328592659981868,0.0716816475004636,-0.0223249923329934,0.0109335459929,-0.314379313591249,1.46919885879234,-0.345274467879817,-0.425506172567074,2.20530910686069,-1.52725200082678,1.09713985800814,0.701127137647676,-0.81914971957672,0.25229248149745,-0.00162104415398816,0.0187153092553943,0.0333652958114767,-0.0226322258083427,0.15625588296878
"phi_invest_b_d",1197.63486160368,-0.054700811088178,-1.04583231862079e-15,-4.66966007293497e-15,0.0268311902331867,-4.59174749190697e-16,0.0035878402726758,-130.667632226306,0.226339005887662,0.0671736304551864,-0.0249277917316797,-0.127165014758368,0.0195815818869658,-0.002825695464012,3.49651266503604,3.20999129070437,-0.668114850092995,-3.07339870423119,-0.660855534396835,1.99972436640927,-7.1483415358562,-0.81914971957672,4.84802076942356,-7.46819372492996,0.0422793745523205,-0.00184006032218609,-0.102714615764108,0.0813868512111152,11.3240489127631
"phi_b_b_d",-2769.50267750467,-0.238329779311891,-7.92449444555048e-15,8.40997009474155e-15,0.526652873891972,1.59312302785115e-14,1.03902439266093,25153.1751774762,0.466017451779765,-0.54987604404851,-0.0504235477759166,1.06105349309409,-0.0631821461448739,-0.0488386886201883,23.3951258605631,-20.9211375674018,-0.117438350374558,-47.0867183710432,36.8035489915862,-1.8441957356551,64.2610332802282,0.25229248149745,-7.46819372492996,217.166151231086,-0.255468087487089,-0.665950957306502,-0.41871918462282,0.994784073981599,81.0194342572403
"phi_beta_lag",199.594485029474,0.0525965733617521,-1.21237691321874e-16,1.64768181532159e-15,-0.0166436811797529,5.17427189736894e-16,-0.0196893251649037,-1802.03336100596,-0.207148767552652,-0.249843819326213,-0.00355353396636505,-0.00964134733097148,-0.00984961268342023,0.0030698139821284,0.1542623585112,0.329354032861145,-0.188580187866082,-0.285668221873759,0.230362707495146,-0.032561906501464,-0.225586860791059,-0.00162104415398816,0.0422793745523205,-0.255468087487089,1.13379862198211,0.308590640994544,0.159100036169735,-0.00777859526150826,1.33205364019498
"phi_beta",193.278577235764,0.0713620801114303,-1.13680465157766e-15,2.09900391395285e-15,0.0534205247153331,-2.69910525044723e-16,0.0286959793917504,-2213.27799991986,-0.386622726322813,1.66619862531503,-0.00471205342420058,0.453265969536549,-0.0479953390441416,0.0113147537741515,0.441928946312094,1.49218763482982,-0.135128332764526,0.405918866856355,1.02587434583597,-0.0941325653540724,0.0174868955336111,0.0187153092553943,-0.00184006032218609,-0.665950957306502,0.308590640994544,1.56701968342892,0.392807673399091,0.00447856703225961,-1.4909369025133
"phi_beta_lead",676.854595105818,0.127510852088122,2.10236692341685e-16,1.34234015630151e-15,-7.66134150659836e-05,5.91083116892558e-16,-0.000483821356480664,-1248.09527328504,-0.144626907637469,-0.197302295901531,0.022636248619946,-0.0750985281497886,0.00373721416463674,0.00175297260011614,-0.202305512342714,-0.117738067717672,-0.052661412887724,0.635964379645678,0.0530874538782971,-0.103392059670219,0.0371010888713596,0.0333652958114767,-0.102714615764108,-0.41871918462282,0.159100036169735,0.392807673399091,1.27442209786426,-0.00411688061542223,-0.116928223856056
"phi_bv_bv_d",170.321338780812,-0.0210765683038848,-2.1902634161843e-15,-5.60328099156723e-16,0.239839688834568,-8.45466241384059e-16,0.492323963501756,171.050653511197,-0.0259850777811082,0.00743715929780667,-0.00494861584886844,-0.0233473378817224,-0.00507502446250164,0.00483278388004368,-0.946510756443554,-0.331007420752333,0.0419035541015817,0.262120324543796,-1.05301257611858,0.0359613660886128,-0.0286629769554641,-0.0226322258083427,0.0813868512111152,0.994784073981599,-0.00777859526150826,0.00447856703225961,-0.00411688061542223,0.311196817690402,0.46821646871653
"phi_skew_bv_d",98.6386542704291,-9.63200958397617,5.84265024560467e-13,4.46544715581886e-14,-48.9058105833156,1.7072775362455e-13,-39.4853225278982,-37024.9419506361,-0.609063419537492,-3.31157167005342,-0.206131169916023,-8.39852964300906,0.4776548673679,-0.386114515028736,78.6202590749902,67.6322823305566,-15.7868955890934,-24.7882332968773,106.011031823624,-2.07195965862647,-18.2303563961145,0.15625588296878,11.3240489127631,81.0194342572403,1.33205364019498,-1.4909369025133,-0.116928223856056,0.46821646871653,11509.9326154504
