"","phi_sw_sale_gr3","phi_rho_y","phi_invest_to_sale","phi_restate","phi_b_bv_to_sale_abs_r","phi_detect","phi_b_bv_to_sale_abs_d","phi_detect_2_1","phi_fcf_fcf","phi_fcf_ib","phi_fcf_invest","phi_ib_ib","phi_ib_invest","phi_invest_invest","phi_fcf_fcf_d","phi_fcf_ib_d","phi_fcf_invest_d","phi_fcf_b_d","phi_ib_ib_d","phi_ib_invest_d","phi_ib_b_d","phi_invest_invest_d","phi_invest_b_d","phi_b_b_d","phi_beta_lag","phi_beta","phi_beta_lead","phi_bv_bv_d","phi_skew_bv_d"
"phi_sw_sale_gr3",3782901467.35798,1846.99458345815,5.00946600462969e-10,1.80305259124481e-10,-271.656050981645,2.11994425368335e-10,-249.483127726744,10285926997.3341,-3756.89019507829,183.494323503902,-351.297752101559,2288.03449789163,34.9310740236663,31.4806229481161,-25184.9096117162,-4519.82947795689,1286.7890802618,-1074.39780587032,-674.966547500008,4257.50486915039,-4896.20333583384,1225.12049657406,-2096.6063186555,-7571.59959316721,1101.79905395057,1618.02915536219,573.721322209185,-60.8091706137553,35279.9614801638
"phi_rho_y",1846.99458345815,4.5020029159043,2.8281279281931e-15,-5.63732324517724e-16,0.00552281546714579,-4.76295968646229e-16,0.0174373962441518,-4407.13353585912,-0.00864200762058551,-0.140695848115381,0.00354799209825002,-0.111013522917688,-0.00234271526725179,0.00976705118419945,-0.326996001195564,-0.625042901407892,0.0830008470787092,0.287043203915414,0.0990908542049027,0.0726843941751224,0.107578220259059,-0.00491686347213524,0.0111089714014649,0.143074820625532,0.100337995276661,-0.0309732502927457,0.134836059875285,0.00564466429858276,-2.24341233930981
"phi_invest_to_sale",5.00946600462969e-10,2.8281279281931e-15,1.56370544899639e-27,2.11833114760627e-28,-2.04757964784367e-17,5.18693055970015e-28,-3.49186183607443e-17,2.54880997427376e-08,3.21996091570577e-15,-4.40491267499888e-16,2.28315977556467e-16,-6.94907203011217e-16,2.60012538976052e-16,-1.32808498124464e-16,3.44030108229327e-15,-1.07257613540147e-15,-8.54025814502379e-17,2.49379766120434e-16,4.37569685183109e-15,1.42086355323951e-16,-3.20350650880723e-16,5.74888693102319e-17,-3.14971322608593e-17,2.53662895981994e-15,-2.54927344053667e-17,-1.14571606982085e-15,-7.13059883297024e-16,1.36961188385833e-17,-1.49892872009614e-15
"phi_restate",1.80305259124481e-10,-5.63732324517724e-16,2.11833114760627e-28,5.46428726217531e-28,-1.89089638962687e-16,2.70163882025956e-28,-2.48868367814732e-16,7.75498126716487e-09,1.56645511725425e-16,5.33302080660035e-16,-3.05948136993456e-17,-1.50198122368407e-16,5.67829569822236e-17,-2.85070128988056e-17,-4.40448136411252e-15,-3.08892093488257e-15,1.25541630876766e-15,1.07127448734503e-15,4.17170866154605e-14,3.31221715198264e-15,1.04481085153354e-14,4.62815209850564e-16,-1.19845316769959e-16,7.97643850593651e-15,4.22930109336947e-16,9.39233815145594e-16,9.60817850613227e-16,-1.12252797549776e-18,1.82300315217048e-14
"phi_b_bv_to_sale_abs_r",-271.656050981645,0.00552281546714579,-2.04757964784367e-17,-1.89089638962687e-16,0.238820341359982,-1.43066001344699e-16,0.310929655628503,3671.46539376762,0.0155227861841729,0.0137261084959156,-0.00312203973133555,-0.0169610274808453,-0.00403981829851161,0.00250182629650378,0.895502645327128,0.342287094334816,0.220155771652503,-0.760797673900053,-0.46009936897343,-0.0617414766865215,-0.879511745775539,0.0506982218476604,0.0150893942548695,0.612680364579808,0.00366687943861064,0.0129929862060962,0.0107669180164179,0.119470815289199,-49.6137283187004
"phi_detect",2.11994425368335e-10,-4.76295968646229e-16,5.18693055970015e-28,2.70163882025956e-28,-1.43066001344699e-16,5.88090372777798e-28,-3.12187508883818e-16,1.44570725313144e-08,9.44241926978738e-16,6.50353232861348e-16,-1.33706538763473e-16,3.26755154948567e-17,1.10570920274448e-16,-1.01593573732789e-16,1.55356734922547e-14,3.98142351904722e-15,1.22998202277652e-15,1.80483638616329e-15,-5.41815871686972e-15,1.60462332033524e-15,-3.41037175860105e-15,3.6262693593443e-16,-4.288504513599e-16,5.83619678957227e-15,2.70597274172693e-16,7.31381635288479e-16,5.62999311332515e-16,1.48977086623233e-17,1.73539147073402e-14
"phi_b_bv_to_sale_abs_d",-249.483127726744,0.0174373962441518,-3.49186183607443e-17,-2.48868367814732e-16,0.310929655628503,-3.12187508883818e-16,0.523777202181781,10640.172859879,0.0339188241079412,0.0212931666290689,-0.00810981577727924,-0.0296097174813965,-0.00755333859004903,0.00664822126240826,0.816291384933363,-0.733076227334087,0.450332335720221,-0.652867036300354,-0.617708282834121,0.0520627869276453,-0.991182683065551,0.162271704931636,0.0765953720930632,0.215318363790722,0.0218257151042767,0.0200702908648071,0.00885594286789593,0.194184744548152,-75.1256779951198
"phi_detect_2_1",10285926997.3341,-4407.13353585912,2.54880997427376e-08,7.75498126716487e-09,3671.46539376762,1.44570725313144e-08,10640.172859879,1366603185580.68,78224.76172985,-71735.6401791924,-6949.16729789436,-39200.4706352918,6957.0782946407,-3189.19053689242,467375.535437408,-1856078.73468734,41710.1376798203,349.189879540481,-1463733.67580385,70735.1574747014,-33594.5388204995,28219.3710599622,15586.7218606344,1110219.57138715,34820.1156194557,-57470.744866967,6236.81298938409,5017.01791449182,-2295864.91509139
"phi_fcf_fcf",-3756.89019507829,-0.00864200762058551,3.21996091570577e-15,1.56645511725425e-16,0.0155227861841729,9.44241926978738e-16,0.0339188241079412,78224.76172985,5.39180776478113,0.857347302607394,-0.0362448458167607,2.06497935260824,0.00458593132063045,0.0147519650829447,7.15330723640717,-0.909995307799251,-0.243698257214657,0.766204807367601,1.58313294235596,0.0829365872630506,0.117957972845501,0.0464947695059919,0.0298903835861597,1.04590881126385,-0.190068628856633,-0.197484224376907,-0.10072716008298,0.00863971473156536,-2.81531173216546
"phi_fcf_ib",183.494323503902,-0.140695848115381,-4.40491267499888e-16,5.33302080660035e-16,0.0137261084959156,6.50353232861348e-16,0.0212931666290689,-71735.6401791924,0.857347302607394,2.47052371603892,-0.0175684772169247,0.894322788130463,-0.0204500905886567,0.0149518714535391,1.1150307237617,2.8124964733675,-0.140856275290748,-0.470834234840957,0.775956325473428,-0.104945230148726,0.841037849670529,0.0406823489697807,0.0157440866841324,-0.448458251702599,-0.302706306323471,1.64186990032613,-0.219104763573545,0.0119709452938508,-2.52860053787616
