"","phi_sw_sale_gr3","phi_rho_y","phi_invest_to_sale","phi_restate","phi_b_bv_to_sale_abs_r","phi_detect","phi_b_bv_to_sale_abs_d","phi_detect_2_1","phi_fcf_fcf","phi_fcf_ib","phi_fcf_invest","phi_ib_ib","phi_ib_invest","phi_invest_invest","phi_fcf_fcf_d","phi_fcf_ib_d","phi_fcf_invest_d","phi_fcf_b_d","phi_ib_ib_d","phi_ib_invest_d","phi_ib_b_d","phi_invest_invest_d","phi_invest_b_d","phi_b_b_d","phi_beta_lag","phi_beta","phi_beta_lead","phi_bv_bv_d","phi_skew_bv_d"
"phi_sw_sale_gr3",3.46849226410062e+35,14902404740908510,-1420683739521706,955484271575588,-1755770808100213,-14003755620189.6,-571877389364271,-2.945393842663e+33,2778388010309310,-8356666985100426,-235017144725352,-17153406872036894,-1712375664182914,-1162221504824047,50466752761270176,-1594925020296112,13064680033034400,-47417565772545432,-102850418258149184,-11088781084150512,24185827855874048,-3657267116666950,-2067103190968116,40648122042492448,-2788824442554871,-2642919992187244,10205947558043976,-205421194273968,212339721199672480
"phi_rho_y",14902404740908510,2.67771857786117,0.00829915076162279,0.000527651497288724,0.00372321255070966,0.000846530785380424,0.0103486502760495,-1671064068156521,-0.0381282909936778,-0.0672817344286269,-0.00103378973853309,-0.0626537470766871,-0.00713166047369404,-0.000238042124787408,-0.0455082101197363,-0.344030091885286,0.012946102436281,-0.00312805652777682,0.0453300995431966,0.0211220055259646,-0.0569084804903422,0.0062620342301576,0.00316269672991634,0.0618078240492466,0.0419637052636148,-0.0293296756539349,0.00675780581527662,0.000937405880209097,-1.36320557251475
"phi_invest_to_sale",-1420683739521706,0.00829915076162279,0.0210295167722534,-1.29622478521045e-06,0.00023081509741948,6.53303981718734e-05,0.000849161362900766,104535510727935,-0.00391042772292622,-0.00244876178362258,-0.00111980927414005,-0.00423216547967075,-0.000612574795576601,0.00132328337421716,-0.044438264324269,-0.0164893473618741,0.00222010295415359,0.00290057706200989,-0.0113231772680973,0.00102726375250452,0.00806825295987497,0.000142518958328677,0.000579852434402328,-0.017823188854025,0.00161641962576266,4.81674320027192e-05,-0.000219983767796423,-3.60419342297678e-05,-0.12689058093844
"phi_restate",955484271575588,0.000527651497288724,-1.29622478521045e-06,0.0033998988877654,0.00416046417759344,0.00186074598359736,0.00281619165998459,-12932678008894156,0.00100155698374479,0.000748584658242233,-0.000141546816497246,-0.000715449416445237,6.60845600312931e-05,-4.16325585616107e-05,0.22844781170793,0.0872336698555124,-0.00526120328988052,0.0497879816330553,0.0406317028206957,-0.0135070613880115,-0.0592071367532635,0.00024336110856058,-0.00331452835334329,-0.0403157952646986,-0.000626179671460137,-0.000808475292253883,-0.00101866031280855,0.000435858432218409,-0.0358965943140884
"phi_b_bv_to_sale_abs_r",-1755770808100213,0.00372321255070966,0.00023081509741948,0.00416046417759344,0.414107282835222,0.00388122909161067,0.336893905934248,-6405579182466628,0.00123412503631049,-0.00565335541114319,-0.000407337928904982,0.00300731251480755,5.18071717949994e-05,3.66749188963747e-05,1.21556946243989,-0.871366005065225,-0.0140968261300611,-1.13606980369229,-0.000271157552457246,0.0525646386105674,-1.50400504242903,0.0380294467702966,0.00455529260846729,0.777487044883737,0.00237387181549781,-0.00506241290088338,0.00709704985526323,0.0938317048201822,-18.3246998223715
"phi_detect",-14003755620189.6,0.000846530785380424,6.53303981718734e-05,0.00186074598359736,0.00388122909161067,0.00327631726772267,0.000739841229716617,-20277868837737416,0.000956133091178641,0.000229710394344055,-0.000228290097889275,0.000759442158524843,3.59969513555271e-05,-3.20985787371017e-05,0.06786811215457,0.00817577138371993,-0.00445116656776149,-0.0063044725281593,0.0547376986237589,0.000611944395598984,0.0028466704149802,0.000845236517809371,-0.000735188303938434,0.0153241972468603,0.000357289503703085,-0.000713467489469632,0.000211438844580428,0.00016822421801473,-0.027879583194023
"phi_b_bv_to_sale_abs_d",-571877389364271,0.0103486502760495,0.000849161362900766,0.00281619165998459,0.336893905934248,0.000739841229716617,0.85812598681365,58304731545957664,0.0148493947599579,-0.0101536049792478,-0.000356275280758568,-0.0012952622204054,0.000486997122900984,0.000451815237307525,3.09626183829029,-2.21951718271331,-0.035907009953929,-2.8937627075181,-0.000690684331730059,0.133891060611823,-3.83095624014941,0.0968674587545289,0.0116031038140204,1.98039152942084,0.011388576937506,-0.006981851405649,0.00782538532523836,0.239005285862728,-46.6761221890594
"phi_detect_2_1",-2.945393842663e+33,-1671064068156521,104535510727935,-12932678008894156,-6405579182466628,-20277868837737416,58304731545957664,1.03888031237032e+36,-12049010714797556,-25963278895098252,-977027094665518,-11506792334025342,377435459670500,564680885149.265,-5685886024442991616,-5759975855921177600,-441576821673733184,-5518356601558646784,-2700172252747874304,166440560060251936,-2174758919138284800,16563048884771610,13091195382769500,-1391951710067939840,-10868081992432904,-6113232265869398,-3707577333950880,16662673552405374,-8297484662347326464
"phi_fcf_fcf",2778388010309310,-0.0381282909936778,-0.00391042772292622,0.00100155698374479,0.00123412503631049,0.000956133091178641,0.0148493947599579,-12049010714797556,2.57225521203058,0.454171542173831,-0.0148047941082081,0.573346901318831,0.000203097219822292,0.00342562325703701,3.9065820452482,0.845655281160979,-0.133828564421624,0.311948413806047,0.771477328635511,-0.0166044029361538,0.192211738204299,0.0222697467089349,-0.00926567356535266,0.13820909481063,-0.0594991443861598,-0.0181700607959203,-0.00584134299546748,0.00218691369983303,-0.118804344671026
"phi_fcf_ib",-8356666985100426,-0.0672817344286269,-0.00244876178362258,0.000748584658242233,-0.00565335541114319,0.000229710394344055,-0.0101536049792478,-25963278895098252,0.454171542173831,1.65791612431063,-0.00394912914324091,0.443836172819922,-0.00756634272016601,0.00227776045699159,0.818104035678172,2.81987457149043,-0.00638861586191239,0.301649811266318,0.759810484700795,-0.155543864110605,0.1228966689136,-0.0158681276163474,-0.0355786289855173,-0.0171466908371584,-0.146570199822719,1.11808003920061,-0.115644839604852,0.000768428616674241,2.54341172372549
