"","phi_sw_sale_gr3","phi_rho_y","phi_invest_to_sale","phi_restate","phi_b_bv_to_sale_abs_r","phi_detect","phi_b_bv_to_sale_abs_d","phi_detect_2_1","phi_fcf_fcf","phi_fcf_ib","phi_fcf_invest","phi_ib_ib","phi_ib_invest","phi_invest_invest","phi_fcf_fcf_d","phi_fcf_ib_d","phi_fcf_invest_d","phi_fcf_b_d","phi_ib_ib_d","phi_ib_invest_d","phi_ib_b_d","phi_invest_invest_d","phi_invest_b_d","phi_b_b_d","phi_beta_lag","phi_beta","phi_beta_lead","phi_bv_bv_d","phi_skew_bv_d"
"phi_sw_sale_gr3",1.72250156545391e+35,-4192665950656728,-704530229513024,672210065814986,1487938290664488,47830551220606.3,2234268541493184,3.0807351182809e+34,-3325716939778740,111510826920299,574175636197489,739121692347236,-251609639180944,-1597618971420.27,-95863751344806096,-34393029523640864,-3716879940301326,-17748789027505984,-52065639936475824,-1008402237303966,-25679881375969928,4611144512123133,-8692310614109618,-15701798284069292,1879721884258594,3279207633485872,4207027110699668,21187013814089.3,-47887775905973664
"phi_rho_y",-4192665950656728,2.49786958376045,0.00487551041270909,-5.59459444365943e-05,-0.000453494341975975,8.36998132922039e-05,-0.0195826917782503,-5076042665323399,-0.0247358295521869,0.0185245033655158,0.0153001568451881,0.019035776023007,-0.0242667820369939,0.0048803938930562,-0.10062745730366,-0.0315404378434487,-0.0112320624705551,-0.0817073866024968,-0.0785965883570676,-0.00144380943374035,-0.00653413582209639,0.00195467486533403,-0.00303779759413069,0.0488207196294398,-0.0191949419907972,-0.00137545477016865,-0.0247562705964117,0.00287327923876738,-4.92596468004574
"phi_invest_to_sale",-704530229513024,0.00487551041270909,0.00609633744042639,-0.000124621911262649,0.00090799708588122,-0.000157848900509637,-0.000294456078214218,-796163409290635,0.000293569704418637,-0.000183164837917041,0.000105297638659729,0.000499399805922787,-6.98710005225483e-05,2.4256931340062e-05,0.0181737404708254,0.00189462672995231,-0.00111129724516012,0.00581659478898012,0.0116477456977148,0.000478028664362214,-0.00887442846781567,-4.03552584908379e-05,0.00289453806818567,-0.000184980868889819,0.00186653964091391,0.000784816157640084,-0.00231725262750344,-2.03494660426267e-05,0.071023526989344
"phi_restate",672210065814986,-5.59459444365943e-05,-0.000124621911262649,0.0041907514450867,0.00123643379225563,0.00154142581888243,0.00158473258800713,-187872284736730528,-0.000501382621539465,0.000155412040102673,1.30352329808741e-05,0.000233599255704116,3.35109764469777e-05,1.23779898147082e-05,0.0877789377884235,0.00707832113594351,-0.00450566682170195,0.0219905792294459,0.0751231551442415,0.00762301088121687,-0.00341588503243227,0.000152898807123596,0.00145029799831182,-0.058972367431482,0.000250456595188498,-0.00137662423150672,-7.3614707937278e-05,-0.000156957913298654,0.0567857924902942
"phi_b_bv_to_sale_abs_r",1487938290664488,-0.000453494341975975,0.00090799708588122,0.00123643379225563,0.0398869799665008,0.00118653832124032,0.0396584401665022,-55166390870664392,0.0030144874594,0.00374021650758265,-0.00031989651818921,0.00181288363940226,-0.000141287287509152,3.07793837361819e-05,0.0199786269755002,-0.0187289205033293,-0.00311621906398781,0.0266309270176284,-0.050189995703204,0.00357511003763412,0.00442929304037631,0.00278526087229373,0.000242058788336099,-0.105336806918463,0.00220334160158619,0.0074504154953905,-0.00272269924231856,0.000327498696352351,9.13952902105506
"phi_detect",47830551220606.3,8.36998132922039e-05,-0.000157848900509637,0.00154142581888243,0.00118653832124032,0.00515414258188831,0.00105166283617258,-220184681809734496,0.000257718374798908,0.000242513718927732,1.21942309878875e-05,0.000151057531369393,1.81492567669366e-05,3.13790746287025e-06,0.0381653842726264,0.0128741120613854,-0.000171279980444639,-0.00433584422091146,0.0227205539077949,0.000604811465130923,0.000557497818209192,0.000412424952003684,-5.70118275261022e-05,0.00763505147196216,0.00171557086165135,-0.00128721407778862,0.00146415388965575,0.000171078843743236,0.262026480934806
"phi_b_bv_to_sale_abs_d",2234268541493184,-0.0195826917782503,-0.000294456078214218,0.00158473258800713,0.0396584401665022,0.00105166283617258,0.2015077500352,-137809035312634624,-0.0013412790226216,-0.00161871845956959,0.00013444319847172,-0.00284734013233423,0.00023824114273855,0.00014743522840779,0.10151302355119,-0.0951631636385382,-0.0158337617305327,0.135313899440923,-0.255019437627091,0.0181654239750058,0.0225055970700202,0.014152136324087,0.00122992032992396,-0.535224856774895,0.00481603098067956,0.000711929510372786,0.000219428424561679,0.00166404743011465,46.4386879988744
"phi_detect_2_1",3.0807351182809e+34,-5076042665323399,-796163409290635,-187872284736730528,-55166390870664392,-220184681809734496,-137809035312634624,4.05306356772114e+37,-10271100478335612,-12072822649509068,-1334086970681309,-9764751024418980,-1216178173491990,-145296744419022,-20091508189613416448,-1.4078765983105e+19,-606118679741831296,-2746946970089436672,-9985347533862809600,-720983690075415296,1236660493229300736,263058657853428896,-385973930554600832,6448482020124805120,-205822346782393856,74443816356427584,-126436989916069232,31932075292505104,2230506092483581440
"phi_fcf_fcf",-3325716939778740,-0.0247358295521869,0.000293569704418637,-0.000501382621539465,0.0030144874594,0.000257718374798908,-0.0013412790226216,-10271100478335612,1.96405574389912,0.174106846195602,-0.0246719109260805,0.304007414741723,0.00329787744781582,0.00495092718197118,2.1094193493087,0.638009492834451,0.0606237197565366,0.0469406059458237,0.256776441761001,0.0321047931353762,-0.114907066941256,0.000255385784456037,-0.021512864139412,-0.058270317918822,-0.0375488266131855,-0.0387676014157258,-0.0123231243883783,-9.74524535264262e-05,0.722410508686447
"phi_fcf_ib",111510826920299,0.0185245033655158,-0.000183164837917041,0.000155412040102673,0.00374021650758265,0.000242513718927732,-0.00161871845956959,-12072822649509068,0.174106846195602,1.01803875912737,0.00902599828621823,0.26265334568548,-0.0205657028478212,0.0019534149820489,0.612501678236805,1.32075552801526,0.0341029285571514,-0.00783205119558739,0.65185208436343,-0.0310545351362267,-0.119059144216343,-0.00107477714875597,-0.00789739063994299,-0.0911461747608578,-0.207791635769714,0.502319405807697,-0.13791955161724,2.78701652322217e-05,-0.00167246534484246
"phi_fcf_invest",574175636197489,0.0153001568451881,0.000105297638659729,1.30352329808741e-05,-0.00031989651818921,1.21942309878875e-05,0.00013444319847172,-1334086970681309,-0.0246719109260805,0.00902599828621823,0.0323194715651613,-0.0105873040346184,0.00524470418917953,-0.000569111254218642,0.0564820701880769,0.026410039610995,0.0258801420058864,-0.0367783786813134,-0.0223006470589513,0.00496274672924958,-0.0126201950651676,-0.000400337478029852,-0.0054849335460943,0.0171860025295923,-0.004193003722606,0.00489523564792586,-0.00010523981780942,-5.87665884640732e-05,-0.143314186464073
"phi_ib_ib",739121692347236,0.019035776023007,0.000499399805922787,0.000233599255704116,0.00181288363940226,0.000151057531369393,-0.00284734013233423,-9764751024418980,0.304007414741723,0.26265334568548,-0.0105873040346184,1.2970417163398,-0.00525656568476686,0.0112956703410673,0.267328848325504,0.633014576486136,-0.0228861842651082,0.0173022522882516,1.44940635532953,-0.01993184839203,-0.0779409223692571,-0.00344374290255255,0.00992288309994569,-0.125867967612707,-0.0416667623132549,0.0652410531820593,-0.069139248453284,-0.00126852362549412,-0.387796524719871
"phi_ib_invest",-251609639180944,-0.0242667820369939,-6.98710005225483e-05,3.35109764469777e-05,-0.000141287287509152,1.81492567669366e-05,0.00023824114273855,-1216178173491990,0.00329787744781582,-0.0205657028478212,0.00524470418917953,-0.00525656568476686,0.0296742490511951,-0.00277222817551324,0.0234472462150113,-0.034893365464315,0.00484148537671628,-0.0117329741201014,-0.0258910218333122,0.0115467294464397,0.0016774484437727,-0.000328553640390592,-0.000544384148635339,-0.00245872830588395,0.00336648412556662,-0.0112808304750958,-0.00155311491907273,-2.04534446068792e-05,0.00770000606410218
"phi_invest_invest",-1597618971420.27,0.0048803938930562,2.4256931340062e-05,1.23779898147082e-05,3.07793837361819e-05,3.13790746287025e-06,0.00014743522840779,-145296744419022,0.00495092718197118,0.0019534149820489,-0.000569111254218642,0.0112956703410673,-0.00277222817551324,0.00481994479412582,0.00326469285780297,-0.000359006767389928,-4.02874747848593e-05,-0.00322435454505677,-0.00431033023641786,-0.000229831087999901,-0.00121266414536422,0.0013200739736456,-0.00130605733654673,0.000770427274978657,0.00196697416130987,0.00256413759374689,-0.000166191266223314,-2.74037081850276e-05,0.000353364334884421
"phi_fcf_fcf_d",-95863751344806096,-0.10062745730366,0.0181737404708254,0.0877789377884235,0.0199786269755002,0.0381653842726264,0.10151302355119,-20091508189613416448,2.1094193493087,0.612501678236805,0.0564820701880769,0.267328848325504,0.0234472462150113,0.00326469285780297,192.556386198334,53.2163309876078,6.04080849404391,0.780637640461326,22.7022102032427,3.04444285958418,-13.2655433082866,0.214701349885622,-2.0729804416713,-6.58202570754231,-0.0715432371214757,-0.0522802498659669,0.240888329800374,-0.00705011953861058,125.011679918169
