"","phi_sw_sale_gr3","phi_rho_y","phi_invest_to_sale","phi_restate","phi_b_bv_to_sale_abs_r","phi_detect","phi_b_bv_to_sale_abs_d","phi_detect_2_1","phi_fcf_fcf","phi_fcf_ib","phi_fcf_invest","phi_ib_ib","phi_ib_invest","phi_invest_invest","phi_fcf_fcf_d","phi_fcf_ib_d","phi_fcf_invest_d","phi_fcf_b_d","phi_ib_ib_d","phi_ib_invest_d","phi_ib_b_d","phi_invest_invest_d","phi_invest_b_d","phi_b_b_d","phi_beta_lag","phi_beta","phi_beta_lead","phi_bv_bv_d","phi_skew_bv_d"
"phi_sw_sale_gr3",3.46849226410062e+35,14902404740908510,-1420683739521706,1184947530241076,-993735369726721,139350603632864,-707903310562921,6.73966669200368e+33,2778388010309310,-8356666985100426,-235017144725352,-17153406872036894,-1712375664182914,-1162221504824047,4702544513156840,13508571010612132,8076800725768041,-41089344241682568,-58479853258269512,-5446186534468180,36782737367763488,-2364117016255420,-1613774050605920,18585341713330496,-2788824442554871,-2642919992187244,10205947558043976,-232680583032469,200072021039085184
"phi_rho_y",14902404740908510,2.67771857786117,0.00829915076162279,0.000211933960589493,0.00108242521692367,0.000663331632026533,0.00586223653090796,3328859043667763,-0.0381282909936778,-0.0672817344286269,-0.00103378973853309,-0.0626537470766871,-0.00713166047369404,-0.000238042124787408,0.0311362270226198,-0.22332291061813,0.00999947561460976,0.0458380838463652,-0.0109997928335865,0.0113651758450605,0.0159695509198809,-0.000721386556237262,0.0122919334068331,0.0751339338392095,0.0419637052636148,-0.0293296756539349,0.00675780581527662,0.000480721097247103,-0.963388831317384
"phi_invest_to_sale",-1420683739521706,0.00829915076162279,0.0210295167722534,-6.30389753600955e-05,0.00230682722334757,0.000131630229736785,0.00562758834275002,924170887751193,-0.00391042772292622,-0.00244876178362258,-0.00111980927414005,-0.00423216547967075,-0.000612574795576601,0.00132328337421716,-0.0126534830020025,-0.0197970185521456,0.00997761192632768,0.00712083663320218,-0.0322697880239651,0.00205625649763844,0.00919142203580481,0.00298202336970112,0.0009499736767171,-0.00907859405327655,0.00161641962576266,4.81674320027192e-05,-0.000219983767796423,0.00229889220092387,-0.612169770812505
"phi_restate",1184947530241076,0.000211933960589493,-6.30389753600955e-05,0.00695146612740126,0.00328656522822867,0.00381979552859208,0.00351706998810789,126020980560604816,0.00190306297722727,0.00135550704515665,-0.000190187839549811,-0.00158599142345976,0.000182222803264882,-2.62852911157291e-06,0.117604479413317,0.0488787769305386,0.000863984054311885,0.0729568483026316,0.0144730116410399,-0.00455379041072851,-0.0356616135231416,-0.000493470505229858,-0.00444445251737758,-0.0408498497001743,-0.00129063649196215,-0.000503723052667156,-0.000726823356996927,0.000970601457868382,-0.335089458847616
"phi_b_bv_to_sale_abs_r",-993735369726721,0.00108242521692367,0.00230682722334757,0.00328656522822867,0.16100858332767,0.00376194692317419,0.21379528142532,132963809762566528,0.0022002732882047,-0.00425011104823531,0.00165090006148232,-0.00270358798827772,0.000499096756529133,0.000390818096375544,0.390357755241544,-0.286590996923485,0.176510036679172,-0.280637711474977,-0.204475820653155,0.0206292835857426,-0.405111857804151,0.0665137254068555,0.0294449990219936,0.124457290069253,0.00179212498807402,-0.00769665844742506,-0.00204847972973784,0.0787718448001742,-30.5956491891813
"phi_detect",139350603632864,0.000663331632026533,0.000131630229736785,0.00381979552859208,0.00376194692317419,0.00635321873946732,0.000525935095204946,144746933785608864,0.0021614012015322,0.000632190996623846,-0.000268419370784548,-0.000387218803845857,8.57439747019239e-05,-2.32556714079551e-05,0.0553991340122557,0.0168020882397675,-0.00389625067959734,-0.00459179723234206,0.0226301933586075,0.000220566231457053,-0.00538079160012377,0.000340941960829766,0.00057769625886114,0.0278726034080927,1.1430282912588e-05,-0.000620963707276667,0.000158239522944266,0.000194371951252381,-0.0713925846817107
"phi_b_bv_to_sale_abs_d",-707903310562921,0.00586223653090796,0.00562758834275002,0.00351706998810789,0.21379528142532,0.000525935095204946,0.527079456187175,142668661626657808,0.0112369814499179,-0.00642362581228609,0.00406256473893617,-0.00529103849919042,0.000297937596544748,0.00143079027275626,0.962367139159845,-0.706546121128196,0.435158407258553,-0.691869209477914,-0.504103755867679,0.0508583328004941,-0.998741114784492,0.163979382438683,0.0725921263017465,0.306830348784595,0.00973438629751136,-0.0117846155798339,-0.00507959633697929,0.19419989460637,-75.4288777040213
"phi_detect_2_1",6.73966669200368e+33,3328859043667763,924170887751193,126020980560604816,132963809762566528,144746933785608864,142668661626657808,9.96176500640756e+36,127669475039738240,49622735622327440,-2553794430238079,2078253354869281,-258516584614323,-569697544589189,11219041245543344128,7111379939554233344,77701928978164368,9777829457515108352,1040127700746052992,-554961623700783360,5386828221494182912,48051325076264632,-8291448736506116,-8352532505730035712,18083856332278616,-23518672740627612,-15991051671524696,41920063016055200,-1458470732204261376
"phi_fcf_fcf",2778388010309310,-0.0381282909936778,-0.00391042772292622,0.00190306297722727,0.0022002732882047,0.0021614012015322,0.0112369814499179,127669475039738240,2.57225521203058,0.454171542173831,-0.0148047941082081,0.573346901318831,0.000203097219822292,0.00342562325703701,3.55266696847323,0.602330709025031,-0.155558471967802,0.0980134081052508,0.707456115327149,-0.0574225144214434,0.0221281088741217,0.0161742462925007,0.0194507628291888,0.142519149080852,-0.0594991443861598,-0.0181700607959203,-0.00584134299546748,0.0034460693548139,-1.09973801730729
"phi_fcf_ib",-8356666985100426,-0.0672817344286269,-0.00244876178362258,0.00135550704515665,-0.00425011104823531,0.000632190996623846,-0.00642362581228609,49622735622327440,0.454171542173831,1.65791612431063,-0.00394912914324091,0.443836172819922,-0.00756634272016601,0.00227776045699159,0.555537407757657,2.32938299402713,-0.0626751594365934,-0.0245359803206668,0.466395563998405,-0.140941090860335,0.106951544107206,0.00152958961165781,-0.010561462294227,0.0351702279506798,-0.146570199822719,1.11808003920061,-0.115644839604852,8.12011672127448e-06,1.02911124217738
"phi_fcf_invest",-235017144725352,-0.00103378973853309,-0.00111980927414005,-0.000190187839549811,0.00165090006148232,-0.000268419370784548,0.00406256473893617,-2553794430238079,-0.0148047941082081,-0.00394912914324091,0.0318965506162308,-0.00203039298683031,0.00748817278704972,-0.000909193140571794,-0.159079416737639,-0.0568653580786302,0.0553162792120002,0.0184895768586618,-0.0938270376751742,0.00889156030739407,-0.0115500315706594,-0.00411469869144717,-0.00335494542120872,0.0183577121788625,-9.6258312953505e-05,-0.0033311078308699,-0.00102428421596235,0.00206486814809439,-0.46531330744723
