"","phi_sw_sale_gr3","phi_rho_y","phi_invest_to_sale","phi_restate","phi_b_bv_to_sale_abs_r","phi_detect","phi_b_bv_to_sale_abs_d","phi_detect_2_1","phi_fcf_fcf","phi_fcf_ib","phi_fcf_invest","phi_ib_ib","phi_ib_invest","phi_invest_invest","phi_fcf_fcf_d","phi_fcf_ib_d","phi_fcf_invest_d","phi_fcf_b_d","phi_ib_ib_d","phi_ib_invest_d","phi_ib_b_d","phi_invest_invest_d","phi_invest_b_d","phi_b_b_d","phi_beta_lag","phi_beta","phi_beta_lead","phi_bv_bv_d","phi_skew_bv_d"
"phi_sw_sale_gr3",1.72250156545391e+35,-4192665950656728,-704530229513024,742461642887662,1006251098374085,12331461190239.1,1451854378539268,1.97296244364312e+33,-3325716939778740,111510826920299,574175636197489,739121692347236,-251609639180944,-1597618971420.27,-68290682148844672,-23678262097015860,-2776727176109218,-15872904851693682,-35999551196425872,-1204290598729204,-16247742770646860,3068398319087306,-5494668837647611,-10205104536941814,1879721884258594,3279207633485872,4207027110699668,17933804229986.5,-57394637980124384
"phi_rho_y",-4192665950656728,2.49786958376045,0.00487551041270909,-0.000120449157952529,-0.000358612731914864,8.3699813292142e-05,-0.0138032363486897,-630768114736063,-0.0247358295521869,0.0185245033655158,0.0153001568451881,0.019035776023007,-0.0242667820369939,0.0048803938930562,-0.0552787924189723,0.00720847260553959,-0.00142105921078788,-0.0295371362391667,-0.0851369384494321,0.00403685975753379,0.00443557898052213,0.00118751404628277,0.000446003394642388,0.0356058899121085,-0.0191949419907972,-0.00137545477016865,-0.0247562705964117,0.00186877608627825,-4.87587122589248
"phi_invest_to_sale",-704530229513024,0.00487551041270909,0.00609633744042639,-0.000129288464860698,0.000723062607421924,-9.59210888889513e-05,0.000157243597413681,-194104618218444,0.000293569704418637,-0.000183164837917041,0.000105297638659729,0.000499399805922787,-6.98710005225483e-05,2.4256931340062e-05,0.0065208701449461,-0.00285803343929683,-0.000539028609185245,0.00352709134668849,0.000779019466724255,0.00075728158404954,-0.00886985706659205,-0.000124054223345303,0.00248478144626395,0.0102419304140472,0.00186653964091391,0.000784816157640084,-0.00231725262750344,2.49218047128215e-05,0.137989611893492
"phi_restate",742461642887662,-0.000120449157952529,-0.000129288464860698,0.0052504816955684,0.000972827152449291,0.00197495183044306,0.000893775836882691,-454747543541695,-0.000194962875052582,0.000178786696557226,8.49812714303724e-07,0.000234059418951024,3.36440062362644e-05,1.20091144746823e-05,0.0676462408630454,-0.0150166603117401,-0.00492455295252944,0.00894286913495074,0.0721887065887924,0.00350978944957681,-0.015524277251895,0.000385245622453728,0.00019805334064615,-0.0540321779888328,0.000622177829936569,0.000118926680703688,0.000557340323773209,-0.00012476834227832,0.0227929103606544
"phi_b_bv_to_sale_abs_r",1006251098374085,-0.000358612731914864,0.000723062607421924,0.000972827152449291,0.0205113882366327,0.00152506429147654,0.0241026779339069,-291026745639468,0.00229818208962617,0.00251108792180084,-0.000210318284790398,0.00115991285022289,-9.61386800111874e-05,2.90993365997006e-05,0.0126562406250081,-0.0323375932591348,-0.00074810950803639,0.000610693627488995,-0.0590672231234646,0.00195873346080532,-0.0265170580386668,0.00108684846839824,0.00410215522523792,0.0527047389927203,0.00191195960572655,0.00406875106228059,-0.00178948309712128,0.000689411324257553,6.09414390502063
"phi_detect",12331461190239.1,8.3699813292142e-05,-9.59210888889513e-05,0.00197495183044306,0.00152506429147654,0.00732177263969179,0.000976057506256198,-6660148969571822,0.000257718374799166,0.000242513718927581,1.21942309878517e-05,0.00015105753136954,1.81492567668902e-05,3.1379074628644e-06,0.0642369749107718,0.0176695753574319,-0.000495362945247925,-0.00366489554089565,0.038587854328934,0.000205047255927604,0.00502626029729229,0.000621410592102041,1.29250078469171e-05,0.0172550068180952,0.00246786834353482,-0.000186367486566091,0.0024045664607806,0.000158407737353272,0.187636278344959
"phi_b_bv_to_sale_abs_d",1451854378539268,-0.0138032363486897,0.000157243597413681,0.000893775836882691,0.0241026779339069,0.000976057506256198,0.115692854082753,2851836301060652,-0.000917152842505039,-0.00271247289491393,0.000142592336051462,-0.00452866472394332,0.000185272634813894,7.13113737460661e-05,0.0607499550000389,-0.155220447643847,-0.00359092563857468,0.00293132941194721,-0.28352267099263,0.00940192061186553,-0.127281878585601,0.00521687264831156,0.019690345081142,0.252982747165058,0.00462999465562309,-0.00411566189166122,-0.00295256685802082,0.00330917435643625,29.251890744099
"phi_detect_2_1",1.97296244364312e+33,-630768114736063,-194104618218444,-454747543541695,-291026745639468,-6660148969571822,2851836301060652,5.26216267375717e+34,-1276325498453137,-1500214258283582,-165778654529307,-1213404614703970,-151126864814834,-18055118839037.7,218226814164110016,-242029583853882592,-11178031599515854,-2771088593518771,-235604062531358560,-5118895823088949,19230596173736032,-711714561204585,-27647666512882780,-16907890824000212,3370726998119243,1376170997033958,2725763693307104,749058122175924,130863560367158912
"phi_fcf_fcf",-3325716939778740,-0.0247358295521869,0.000293569704418637,-0.000194962875052582,0.00229818208962617,0.000257718374799166,-0.000917152842505039,-1276325498453137,1.96405574389912,0.174106846195602,-0.0246719109260805,0.304007414741723,0.00329787744781582,0.00495092718197118,2.24787519472451,0.481286198066752,0.0346023407982325,0.0663732583080106,0.362192800778018,0.0287728883756448,0.0519205833978331,0.0021638472462983,-0.0146047086431138,-0.0871630242607595,-0.0375488266131855,-0.0387676014157258,-0.0123231243883783,-0.000450335660453429,0.0956338431557427
"phi_fcf_ib",111510826920299,0.0185245033655158,-0.000183164837917041,0.000178786696557226,0.00251108792180084,0.000242513718927581,-0.00271247289491393,-1500214258283582,0.174106846195602,1.01803875912737,0.00902599828621823,0.26265334568548,-0.0205657028478212,0.0019534149820489,0.41595493093718,1.44564364352259,0.0276355646708402,0.229830047597022,0.696341969923382,-0.0490074595510393,0.0439523415374182,0.00154709188638432,-0.0206909596394246,-0.0616437975167481,-0.207791635769714,0.502319405807697,-0.13791955161724,-0.000121088811717532,-0.154240788865234
