"","phi_sw_sale_gr3","phi_rho_y","phi_invest_to_sale","phi_restate","phi_b_bv_to_sale_abs_r","phi_detect","phi_b_bv_to_sale_abs_d","phi_detect_2_1","phi_fcf_fcf","phi_fcf_ib","phi_fcf_invest","phi_ib_ib","phi_ib_invest","phi_invest_invest","phi_fcf_fcf_d","phi_fcf_ib_d","phi_fcf_invest_d","phi_fcf_b_d","phi_ib_ib_d","phi_ib_invest_d","phi_ib_b_d","phi_invest_invest_d","phi_invest_b_d","phi_b_b_d","phi_beta_lag","phi_beta","phi_beta_lead","phi_bv_bv_d","phi_skew_bv_d"
"phi_sw_sale_gr3",1.52201416167428e+35,3105855613875018,-1209748784673738,979631963371103,-1556953779631224,268633089007441,-659962937861193,2.27936492655432e+33,-11371633489679802,-2234872761217799,-235965848845942,-25777937641852320,851660969912525,-1332564543033196,-101768365168757584,9840008430425128,-7728655024548910,25535011316618892,6117454996037758,2288624540392895,17364605617159028,-1504892683610392,6214381378716772,-20169942630971240,1921473178605704,1470691559517299,-1908775392813037,-253276517955836,53597113653102880
"phi_rho_y",3105855613875018,3.43899070230513,0.00284672632875414,-0.00202281027547103,0.0176400094839803,-0.00102678485487592,0.00828856245967195,-11548199376947184,0.00221155116520897,-0.00506178526484452,-0.000974389621953708,-0.0100443676665223,-0.00573496659672463,0.00515608029654279,-0.158506605962039,0.0733545828749454,0.0123301242972417,0.15679554287455,0.126610747482727,0.0305836877851445,0.00463217066392668,0.0096435424292279,-0.0010146422673832,-0.13636195449856,0.03673384520738,0.0257062910806573,0.0407125807704879,0.000987967521042642,-0.589278578580207
"phi_invest_to_sale",-1209748784673738,0.00284672632875414,0.0274880933698174,-0.000709164144128484,0.00069455683144413,-0.000148381657173649,-0.00201900463170672,-3497853233066094,-0.00235162870987492,0.00027744047191702,-0.000959877664396338,0.000563396223075869,-0.00136075928007732,0.00193177893192095,0.0252551843573533,0.0112318927199227,-0.000340804820139743,-0.012085649556367,0.0147597699242392,0.00207368131615504,-0.023406976689333,-0.000772618156786692,0.00287120333551748,-0.0126238530656272,-0.00204998790093075,-0.000162734467731093,0.0010268033228513,-0.00175758910958902,-0.259201235825198
"phi_restate",979631963371103,-0.00202281027547103,-0.000709164144128484,0.0201676350028598,0.00319949979238489,0.00833674481585851,0.00239225802244167,-27760624505411624,0.0027109932422426,0.000288639195116996,0.000124098905532048,-0.00341896133178184,0.000330848484618034,-0.000256945691415146,0.0250701721008041,0.0239552504331192,-0.00160103340202377,0.0432690408752406,0.00376284700165023,0.000585774106357562,0.00603622565729023,0.000518686079140256,0.00129651135508463,-0.0655202052443808,0.00176700897792914,-0.000573208358177596,-0.00186127450249236,0.00138943120104885,-0.04572199756246
"phi_b_bv_to_sale_abs_r",-1556953779631224,0.0176400094839803,0.00069455683144413,0.00319949979238489,0.184708543067642,0.00252336481041211,0.247716556178487,14727389476209264,0.00190154051798163,0.00377902416283684,-0.000215239919649272,-5.97107877356744e-05,-0.00107760044451138,4.13461150981033e-05,-0.436890035555047,-0.1886964432255,0.018653503149103,0.0810855043689724,-0.364900715916923,0.0193738702035216,-0.0270427843447723,-0.00948026796073019,0.00438857265510614,-0.0709260510208642,-0.00226756460017749,0.00117144804226065,0.000169195150125191,0.122280741010673,-13.5616138271576
"phi_detect",268633089007441,-0.00102678485487592,-0.000148381657173649,0.00833674481585851,0.00252336481041211,0.0117289393438403,0.000497606962708926,-23031951989274112,0.00267791680346053,0.000710884049601665,-4.61505681151299e-05,-0.000483561195623615,-1.44819075260289e-05,-9.40665841371016e-05,0.0132365882645159,0.00765837756055847,5.90437683065935e-05,0.00866559527351334,0.0108768390054233,-0.00107597068128131,-0.000123837567669825,0.000365500710044024,-0.000953208224717515,0.0163953256105666,-0.000464276248184069,-0.000117369484959914,0.000156865090783803,0.000283846812394916,-0.0224931841481189
"phi_b_bv_to_sale_abs_d",-659962937861193,0.00828856245967195,-0.00201900463170672,0.00239225802244167,0.247716556178487,0.000497606962708926,0.721151673199147,54008820634801320,-0.0181504735767078,-0.0078487238217594,0.000848239753002788,-0.015142713402782,0.000660796797648079,-0.000431209602231688,-1.27187292204056,-0.549332502671919,0.0543040207506704,0.236055869861796,-1.06229783707089,0.056401151094422,-0.0787268702546653,-0.0275989268045968,0.0127759991581082,-0.206479700655334,-0.00305053577989213,-0.00682986546818118,-0.00312542605984979,0.35598331552914,-39.4805282844667
"phi_detect_2_1",2.27936492655432e+33,-11548199376947184,-3497853233066094,-27760624505411624,14727389476209264,-23031951989274112,54008820634801320,1.53426522930051e+36,-19557301565275488,-12565036829561134,-1715075582591574,-16768596822360898,-320280952668461,-383887120129447,-1735417873840703744,-829610275015231360,-89336978643921280,-370894434140555776,-1064484824038363648,53329996291824032,165863287068248960,-37729490199154704,30793491770972584,3183621127085780992,-10155690889247622,-5825980686260895,2253680037356367,7683485199597363,-4527790751393486848
"phi_fcf_fcf",-11371633489679802,0.00221155116520897,-0.00235162870987492,0.0027109932422426,0.00190154051798163,0.00267791680346053,-0.0181504735767078,-19557301565275488,2.68853913818776,0.503893238988811,-0.0280087874407784,0.592037405128054,-0.00216140615410761,0.00323696589925214,3.2858362086264,0.733560643430839,-0.0760428206383639,-0.465751385445011,0.435263255877381,-0.0243607308270022,-0.0356902212421062,0.00884001294871218,0.0297546900989899,0.0793323499295078,-0.0268749895183315,-0.0403406725245,-0.00813453203532883,-0.00924401948130436,1.09765795772929
"phi_fcf_ib",-2234872761217799,-0.00506178526484452,0.00027744047191702,0.000288639195116996,0.00377902416283684,0.000710884049601665,-0.0078487238217594,-12565036829561134,0.503893238988811,1.92949544181475,-0.0149586955424232,0.586685932603424,-0.0258800754253871,0.00426749507024308,0.734025605502257,2.42616765454915,-0.0630489305433463,0.257224076015694,1.08294982032913,-0.0736875974866334,-0.143858547816153,0.0179331227093282,0.0175828636480191,-0.0896857739431686,-0.153657354797606,1.1853568005708,-0.12073803141837,-0.00253937430118938,0.393597584079958
