"","","N"
"mom_sw_sale_gr3",0.184481553901165,3460
"mom_rho_y",0.357452674021383,3460
"mom_invest_to_sale",0.281508054051946,3460
"mom_restate",0.0543352601156069,3460
"mom_b_bv_to_sale_abs_r",0.073458275407489,3460
"mom_detect",0.0106936416184971,3460
"mom_b_bv_to_sale_abs_d",0.0985142964306752,3460
"mom_detect_2_1",0.833333333333333,3460
"mom_fcf_fcf",1.04540255061545,3460
"mom_fcf_ib",0.122866773442381,3460
"mom_fcf_invest",-0.0136235585756358,3460
"mom_ib_ib",0.697856057318518,3460
"mom_ib_invest",0.00388132843134013,3460
"mom_invest_invest",0.0263725897206638,3460
"mom_fcf_fcf_d",1.3492383767634,3460
"mom_fcf_ib_d",0.313032906108863,3460
"mom_fcf_invest_d",-0.0124958087255678,3460
"mom_fcf_b_d",-0.152644859808873,3460
"mom_ib_ib_d",0.857292901832282,3460
"mom_ib_invest_d",-0.00106069834308937,3460
"mom_ib_b_d",0.0488365693771428,3460
"mom_invest_invest_d",0.017992556644214,3460
"mom_invest_b_d",-0.00617189272325981,3460
"mom_b_b_d",0.412350198310681,3460
"mom_beta_lag",0.132953795928516,3460
"mom_beta",0.188351395074269,3460
"mom_beta_lead",-0.0240890969293228,3460
"mom_bv_bv_d",0.0331010522026934,3460
"mom_skew_bv_d",2.90718256081324,3460
