"","","N"
"mom_sw_sale_gr3",0.0796269313912847,11868
"mom_rho_y",0.101367416019834,11868
"mom_invest_to_sale",0.309719111970159,11868
"mom_restate",0.0209807886754297,11868
"mom_b_bv_to_sale_abs_r",0.0290197686466413,11868
"mom_detect",0.00851027974384901,11868
"mom_b_bv_to_sale_abs_d",0.036689983108741,11868
"mom_detect_2_1",0.521739130434783,11868
"mom_fcf_fcf",1.16401816998445,11868
"mom_fcf_ib",0.214010838707964,11868
"mom_fcf_invest",-0.00676081099181555,11868
"mom_ib_ib",0.971250008257244,11868
"mom_ib_invest",-0.0048107608295343,11868
"mom_invest_invest",0.0245025680854551,11868
"mom_fcf_fcf_d",1.53310990044113,11868
"mom_fcf_ib_d",0.27062406077067,11868
"mom_fcf_invest_d",-0.0408954790408603,11868
"mom_fcf_b_d",-0.0427353395015905,11868
"mom_ib_ib_d",1.10990020527517,11868
"mom_ib_invest_d",-0.00458669132075042,11868
"mom_ib_b_d",-0.0551616706329631,11868
"mom_invest_invest_d",0.0264028066694371,11868
"mom_invest_b_d",0.00266134106983247,11868
"mom_b_b_d",0.899425081257462,11868
"mom_beta_lag",0.0867698864661453,11868
"mom_beta",0.222047479971956,11868
"mom_beta_lead",0.00657643224921392,11868
"mom_bv_bv_d",0.00985922228122387,11868
"mom_skew_bv_d",5.55137279017387,11868
