"","","N"
"mom_sw_sale_gr3",0.184481553901165,3460
"mom_rho_y",0.357452674021383,3460
"mom_invest_to_sale",0.281508054051946,3460
"mom_restate",0.0763005780346821,3460
"mom_b_bv_to_sale_abs_r",0.0638779485773531,3460
"mom_detect",0.0158959537572254,3460
"mom_b_bv_to_sale_abs_d",0.0886540119640499,3460
"mom_detect_2_1",0.888888888888889,3460
"mom_fcf_fcf",1.04540255061545,3460
"mom_fcf_ib",0.122866773442381,3460
"mom_fcf_invest",-0.0136235585756358,3460
"mom_ib_ib",0.697856057318518,3460
"mom_ib_invest",0.00388132843134013,3460
"mom_invest_invest",0.0263725897206638,3460
"mom_fcf_fcf_d",1.39636875358962,3460
"mom_fcf_ib_d",0.324847675290204,3460
"mom_fcf_invest_d",-0.0168103345386746,3460
"mom_fcf_b_d",-0.0733575224874094,3460
"mom_ib_ib_d",0.860510777619855,3460
"mom_ib_invest_d",-0.00502794545577204,3460
"mom_ib_b_d",0.128373513907053,3460
"mom_invest_invest_d",0.0148648893028171,3460
"mom_invest_b_d",-0.00107964248144767,3460
"mom_b_b_d",0.43495421413948,3460
"mom_beta_lag",0.132953795928516,3460
"mom_beta",0.188351395074269,3460
"mom_beta_lead",-0.0240890969293228,3460
"mom_bv_bv_d",0.0271059902816042,3460
"mom_skew_bv_d",2.83374513899348,3460
