"","phi_sw_sale_gr3","phi_rho_y","phi_invest_to_sale","phi_restate","phi_b_bv_to_sale_abs_r","phi_detect","phi_b_bv_to_sale_abs_d","phi_detect_2_1","phi_fcf_fcf","phi_fcf_ib","phi_fcf_invest","phi_ib_ib","phi_ib_invest","phi_invest_invest","phi_fcf_fcf_d","phi_fcf_ib_d","phi_fcf_invest_d","phi_fcf_b_d","phi_ib_ib_d","phi_ib_invest_d","phi_ib_b_d","phi_invest_invest_d","phi_invest_b_d","phi_b_b_d","phi_beta_lag","phi_beta","phi_beta_lead","phi_bv_bv_d","phi_skew_bv_d"
"phi_sw_sale_gr3",3856296939.62472,-4705.06147838975,-2.75644687699972e-09,1.90538102350815e-10,-433.22036970867,1.33224875951459e-09,-691.106554280245,-2548648311.79217,-4139.00717951837,-247.502457291669,-36.4627085012597,-2103.95488701251,988.033981559219,-167.265068217612,-1104.57676126559,-1730.77281814073,-929.081648593685,1831.96184166228,6575.8938256516,815.74742584531,3932.42431628296,427.523948167879,447.13049402015,-1635.02497300544,-44.7798806304952,-425.706086853014,-3076.30886108443,-298.482427146278,79153.4103272726
"phi_rho_y",-4705.06147838975,7.59042241588324,-2.45979177352341e-14,8.16510228827232e-16,0.0565490734608052,-6.54457423249619e-16,0.00927554415005154,17190.9449485895,0.0863061305947394,0.0867916938287202,-0.00413170154706238,0.275336496205704,-0.0195889366589908,-0.0029725432605637,0.710615725206606,-0.0812396894803304,-0.15423401998209,-0.442493455444589,-0.180392190752003,0.0524400326118249,-0.47123821258985,0.0766555608244621,-0.132288543926464,-0.238358691523561,0.0263573867572298,0.105605216005453,0.120687552443408,-0.0310219578574456,-9.75870650860553
"phi_invest_to_sale",-2.75644687699972e-09,-2.45979177352341e-14,1.11436732429808e-26,-1.88023522348055e-28,4.31640015890491e-16,-1.33978626557037e-27,1.0223509785345e-15,2.65224416470139e-09,1.58300564872477e-15,2.40864471924264e-16,7.14141794210879e-16,-6.95112922191817e-16,-1.09761787092521e-16,-4.9453324742361e-16,9.52767227279164e-16,2.10900786173096e-14,2.7044513829865e-16,9.82225303376699e-15,-6.19344842203207e-15,-1.47988051577888e-15,-1.78965552045177e-14,-8.29959275873037e-16,-1.02646182487599e-15,-1.31676658059966e-14,-1.76475391810928e-16,6.27759404704703e-16,1.97840615938856e-15,7.4035386900076e-16,-4.5822595531382e-14
"phi_restate",1.90538102350815e-10,8.16510228827232e-16,-1.88023522348055e-28,9.4269053818562e-28,-2.76456966302439e-15,3.19797646183964e-28,-2.56543534992673e-16,7.48189259628331e-11,2.35252259607165e-15,1.36779517177461e-15,-1.73686913244205e-16,3.72299755452962e-15,-5.72289716249365e-16,3.20998003010179e-16,7.28105837593576e-14,2.40837069609634e-14,1.29421356855047e-14,3.74728007878668e-14,4.38583448357489e-14,3.18365582952747e-15,1.82103847614419e-14,9.49194567601971e-15,1.20252835848735e-15,5.62142202859496e-15,-4.62539274302469e-17,7.8150321740543e-16,4.24596736637828e-16,-2.34945875533435e-18,2.75993983633488e-15
"phi_b_bv_to_sale_abs_r",-433.22036970867,0.0565490734608052,4.31640015890491e-16,-2.76456966302439e-15,1.19262690629269,1.92580089106698e-15,0.917327741003167,306.432570308059,0.0546412940121667,0.107477696780582,-0.00724406605493551,0.0346404915486059,-0.0258297140123251,0.00672017558795175,-1.29061857390206,-1.08061079394822,0.132082007638236,0.162897771424717,-2.84241075643773,-0.0275702358716796,0.224044711094187,-0.0978329799950186,0.168895595790668,0.104332245666211,-0.0445107495725796,0.0540759684329645,-0.00851546744448771,0.453795376915052,-49.2894856022348
"phi_detect",1.33224875951459e-09,-6.54457423249619e-16,-1.33978626557037e-27,3.19797646183964e-28,1.92580089106698e-15,1.02880381437064e-27,1.814465122583e-15,-1.59390570815733e-09,-1.63650728100892e-15,1.94172552894041e-15,-5.79249218161514e-16,-8.58411677724668e-18,-1.81452059458293e-16,4.46652176086426e-17,2.38224346382745e-14,1.30639435698933e-14,8.15355319004756e-15,-1.76617480184793e-14,1.21428056563385e-14,-4.09702258146001e-15,1.53643533108093e-14,2.49106790282703e-15,-1.09038813486954e-14,1.92175385980591e-15,2.57531739004935e-16,1.40963305378359e-15,-1.16115141680225e-15,6.61082419525362e-16,-2.29797622092368e-13
"phi_b_bv_to_sale_abs_d",-691.106554280245,0.00927554415005154,1.0223509785345e-15,-2.56543534992673e-16,0.917327741003167,1.814465122583e-15,1.73766809697935,-963.115493236511,-0.0281316729530469,0.0263945462080399,-0.00538763337808761,-0.0356407750922593,-0.0297635005973354,0.0112419325856418,-2.52327989738056,-2.38836242188498,0.318987632319796,-0.0310589105459103,-4.23217939674056,-0.0544233651013415,-0.893369398049513,-0.114521125000959,0.47897441825908,1.00023225764999,-0.044988444275344,0.0111731877363017,-0.00505715142524873,1.13854734062095,-48.8734840260712
"phi_detect_2_1",-2548648311.79217,17190.9449485895,2.65224416470139e-09,7.48189259628331e-11,306.432570308059,-1.59390570815733e-09,-963.115493236511,27428075630.2778,24614.8229842684,6434.37274761841,-2804.40594958434,19231.5682693017,-2075.25003035349,2193.85241066648,49345.8416715015,-195551.412531825,-61423.6570632497,18023.1577926261,76121.7635536343,137912.564682418,-11795.3306911193,43908.9749141442,-3012.58745341061,-74756.5311275829,819.572641988977,2237.59211704019,6491.68168705117,-855.809062889005,119660.989345653
"phi_fcf_fcf",-4139.00717951837,0.0863061305947394,1.58300564872477e-15,2.35252259607165e-15,0.0546412940121667,-1.63650728100892e-15,-0.0281316729530469,24614.8229842684,5.9234849606656,1.04355519474678,-0.103155139463349,2.91090143445182,-0.0572629487314899,0.141830529363827,4.7499221094927,0.936937211944776,-0.00575662266777603,-0.743678676500016,1.59033473667401,0.218168399419889,1.59185238927209,0.0300465614784382,-0.00666592735887137,1.83422869021904,-0.162336423499427,-0.469038436771548,-0.0961601508060546,-0.0401678001650351,-3.98982076345454
"phi_fcf_ib",-247.502457291669,0.0867916938287202,2.40864471924264e-16,1.36779517177461e-15,0.107477696780582,1.94172552894041e-15,0.0263945462080399,6434.37274761841,1.04355519474678,2.86139747879031,-0.0936904839316519,1.49372825216242,-0.134847631481392,-0.0242473854735562,1.88874574782213,2.49292080315456,-0.154741934024584,0.502151196165384,1.43685497980141,0.000291929688531121,-0.289199300500608,-0.0507393482784218,0.0211827712792549,-0.715795804509245,-0.350038685936931,1.72430968063997,-0.351638668235054,0.00428113567194035,-1.87713540229986
