"","phi_sw_sale_gr3","phi_rho_y","phi_invest_to_sale","phi_restate","phi_b_bv_to_sale_abs_r","phi_detect","phi_b_bv_to_sale_abs_d","phi_detect_2_1","phi_fcf_fcf","phi_fcf_ib","phi_fcf_invest","phi_ib_ib","phi_ib_invest","phi_invest_invest","phi_fcf_fcf_d","phi_fcf_ib_d","phi_fcf_invest_d","phi_fcf_b_d","phi_ib_ib_d","phi_ib_invest_d","phi_ib_b_d","phi_invest_invest_d","phi_invest_b_d","phi_b_b_d","phi_beta_lag","phi_beta","phi_beta_lead","phi_bv_bv_d","phi_skew_bv_d"
"phi_sw_sale_gr3",210002060.344315,-14.1539246752359,9.41313488164171e-11,5.82072686450167e-12,-4.10267550111923,-2.70277623306796e-12,9.52935020625514,-93074657.6498591,-1199.38777784515,-661.305692775172,-458.379037269225,639.762060452236,229.016043075195,-147.991492502803,-298.542085016987,-154.179201826868,-89.0362302487087,-282.477092010742,-131.098765305275,-13.6857352115012,-127.382187418123,25.9217722839482,16.0699159288635,144.906168434955,1527.13431793817,219.154875929679,-275.809404061106,0.997682546263288,1053.52845482288
"phi_rho_y",-14.1539246752359,7.69579578739667,-5.67872870586644e-15,2.61397546048967e-17,0.001023463727258,5.26419061300976e-17,-0.0340671151724051,-808.711740416804,0.254424533239596,0.167097455572327,-0.0125894918189663,0.39210058908226,-0.0939947493107195,0.0421534275503144,-0.0504874084490947,0.0509744360067601,-0.0135124052841361,-0.0782027980354126,-0.144118541897478,0.0300427823302977,0.0564441677220662,-0.0217000365803297,-0.0160866047206856,0.0949796722446166,-0.0814081087705704,0.0269261150432929,-0.0368171310669341,0.00469642880035729,-5.89002118964828
"phi_invest_to_sale",9.41313488164171e-11,-5.67872870586644e-15,3.38169271111583e-28,7.39738910351435e-30,2.26380693590342e-18,-3.96290941922164e-30,1.21923719950061e-17,-2.48041591629253e-10,7.97786278950796e-16,-1.31287794536008e-15,-8.0812222791264e-17,2.0017501291562e-15,2.88331637203331e-16,-8.50620910480743e-17,-5.92052721864465e-17,-1.01869785815926e-16,-1.05489764656663e-17,-1.7388768651245e-17,-1.05940358903612e-16,1.99046940358763e-17,5.17425335283684e-18,2.80890568348141e-18,-6.39778909580118e-18,3.59353877073403e-16,1.21628636819151e-15,-7.45061940914457e-16,-9.27781941179798e-16,1.8779548827922e-18,1.30688734620421e-15
"phi_restate",5.82072686450167e-12,2.61397546048967e-17,7.39738910351435e-30,3.56723629970141e-30,-6.78130680017696e-18,1.25494495092108e-30,-8.22950038937409e-18,1.28826612560976e-10,-7.59330401061117e-17,-2.03638249347011e-17,-2.71711931576063e-17,1.42301212814896e-16,2.43910900844743e-17,-4.04167132499934e-18,-3.05334913134602e-16,1.00552977757533e-15,-1.10291286120355e-16,-1.62330661670476e-17,1.89417938292702e-15,-2.25521821117045e-16,4.24692720694352e-17,-4.12110617647748e-18,-5.94357147981246e-17,-3.5381170572582e-16,1.44205496498547e-16,3.97717032705006e-17,-7.92007966610289e-17,-2.3094938579097e-18,-3.4497606291127e-16
"phi_b_bv_to_sale_abs_r",-4.10267550111923,0.001023463727258,2.26380693590342e-18,-6.78130680017696e-18,0.00247443908439732,2.02401599182385e-18,0.00310219714490212,-161.217790825522,-0.00498210230922229,-0.000810842204311674,-0.000233278949087705,-0.00128871781022617,-0.000809131564597175,0.000225876891964145,-0.0383685543020528,-0.0374543954893021,-0.000390015618460278,-0.00607861107698477,-0.0139890107398592,-0.000989977298725882,-0.00469296654974182,2.24519426143635e-05,-0.00497560669001805,-0.0333174634832484,0.00136922464743154,0.000176577776274738,-0.000165133972083786,5.55451623932705e-06,0.0552090339215341
"phi_detect",-2.70277623306796e-12,5.26419061300976e-17,-3.96290941922164e-30,1.25494495092108e-30,2.02401599182385e-18,1.70692279941983e-29,1.85894646115752e-17,-9.1179503983114e-11,4.14799970634547e-17,-2.89251753920194e-17,7.2990897010364e-17,-2.0939946104556e-16,1.804409932005e-17,-1.38758051190434e-17,-9.66013865061542e-16,-2.60706289954765e-15,2.13100768865433e-15,5.22160107005825e-15,-9.26770015853056e-15,8.62062240899056e-16,2.21531522643932e-15,-4.42406077265797e-16,-8.63479925835449e-16,3.86125966144595e-15,2.63812432312192e-16,5.22920624781864e-18,-1.62706520822978e-16,1.95815892763027e-17,1.19974439312392e-14
"phi_b_bv_to_sale_abs_d",9.52935020625514,-0.0340671151724051,1.21923719950061e-17,-8.22950038937409e-18,0.00310219714490212,1.85894646115752e-17,0.19061783529742,-2730.81064874612,-0.0192043810331991,-0.0286820171978511,0.00260311304956576,-0.0233847240604805,0.00320328417184238,-0.00203701349877409,-0.0677767446659052,-0.634292469075951,-0.0631618434520497,-0.103094526454757,-0.529993738239172,0.0532479306228024,-0.22234248201004,-0.0176314568460575,-0.0671264871021659,0.358302618300379,0.0211848731931109,-0.0178667099132332,-0.0036940130023948,0.00395627393676188,25.7103886766527
"phi_detect_2_1",-93074657.6498591,-808.711740416804,-2.48041591629253e-10,1.28826612560976e-10,-161.217790825522,-9.1179503983114e-11,-2730.81064874612,50501991477.0918,5721.902350385,16320.4904337616,-658.851849749829,29032.1708895097,-2439.2579909979,-118.778887185994,-4250.16708843388,477746.295127481,-55260.1953062924,1338.19381083524,859545.700423372,-107415.910666439,-42954.1504423785,3407.90292140346,-10822.9987642502,-136309.671553581,-8129.91393102162,6475.54571476746,83.2917705077713,-756.882104947285,-128847.43131626
"phi_fcf_fcf",-1199.38777784515,0.254424533239596,7.97786278950796e-16,-7.59330401061117e-17,-0.00498210230922229,4.14799970634547e-17,-0.0192043810331991,5721.902350385,3.29680924899172,0.518420139749569,-0.0307302950220305,0.698731838140699,-0.0658164220412212,0.00848034067316579,3.66113141712135,0.834142912669103,0.120986830700623,0.648042467672545,0.881963183393036,-0.0403943049528784,0.113907143989261,-0.000643695806646866,-0.00225547050316187,-0.315942753986918,-0.12448449012075,-0.110768340340147,-0.0501100074963325,-0.00264902276838417,-0.591952422943346
"phi_fcf_ib",-661.305692775172,0.167097455572327,-1.31287794536008e-15,-2.03638249347011e-17,-0.000810842204311674,-2.89251753920194e-17,-0.0286820171978511,16320.4904337616,0.518420139749569,2.19764584593858,-0.113786543305597,0.690460726935481,-0.0583779668287395,-0.0203968575544701,0.680837990725971,2.89725755422403,-0.256753460864283,0.256468412977414,2.05446695174928,-0.165402396389862,0.287895848773701,0.0291744666440777,-0.0115324302361351,-0.0774540045423144,-0.510024938666338,1.1503238827317,-0.250940526613038,-0.00244767006296543,-1.19094941774764
