"","phi_sw_sale_gr3","phi_rho_y","phi_invest_to_sale","phi_restate","phi_b_bv_to_sale_abs_r","phi_detect","phi_b_bv_to_sale_abs_d","phi_detect_2_1","phi_fcf_fcf","phi_fcf_ib","phi_fcf_invest","phi_ib_ib","phi_ib_invest","phi_invest_invest","phi_fcf_fcf_d","phi_fcf_ib_d","phi_fcf_invest_d","phi_fcf_b_d","phi_ib_ib_d","phi_ib_invest_d","phi_ib_b_d","phi_invest_invest_d","phi_invest_b_d","phi_b_b_d","phi_beta_lag","phi_beta","phi_beta_lead","phi_bv_bv_d","phi_skew_bv_d"
"phi_sw_sale_gr3",3856296939.62472,-4705.06147838975,-2.75644687699972e-09,-8.84724200194081e-10,-307.103900406006,2.80678944574045e-10,-443.53728476872,-9409497061.17096,-4139.00717951837,-247.502457291669,-36.4627085012597,-2103.95488701251,988.033981559219,-167.265068217612,-1049.01785224245,-1993.48232137588,-395.74629696042,1022.27927483269,6205.92693558826,509.417487665128,3924.98434668704,-113.431843051418,-427.214456665726,-1748.5415258718,-44.7798806304952,-425.706086853014,-3076.30886108443,-202.074088595723,47527.110479516
"phi_rho_y",-4705.06147838975,7.59042241588324,-2.45979177352341e-14,4.43284734478171e-17,0.0882180113303419,-1.82855628410671e-15,0.145896474233051,-9721.8548117044,0.0863061305947394,0.0867916938287202,-0.00413170154706238,0.275336496205704,-0.0195889366589908,-0.0029725432605637,0.225666299871619,-0.0612665913198183,0.111313900736427,-0.0233857732287382,-0.349527163724837,0.290155014334232,-0.16388520027949,0.117890979427004,-0.104282664906913,-0.400957972099669,0.0263573867572298,0.105605216005453,0.120687552443408,0.0649516666500991,-12.3530589947419
"phi_invest_to_sale",-2.75644687699972e-09,-2.45979177352341e-14,1.11436732429808e-26,8.76396521201304e-28,3.07603414936431e-16,-2.9032949641532e-28,4.54957852049183e-16,9.2038018025547e-09,1.58300564872477e-15,2.40864471924264e-16,7.14141794210879e-16,-6.95112922191817e-16,-1.09761787092521e-16,-4.9453324742361e-16,3.49139354847102e-15,1.55648355136224e-14,-3.28295252934203e-16,6.200166190732e-15,-5.97258514904602e-15,-1.56181496563144e-15,-1.38588956518444e-14,-3.80049014038972e-16,-1.00847812492474e-15,-1.00288655295117e-14,-1.76475391810928e-16,6.27759404704703e-16,1.97840615938856e-15,3.29779403267229e-16,-2.5658168565701e-14
"phi_restate",-8.84724200194081e-10,4.43284734478171e-17,8.76396521201304e-28,1.4312231876309e-27,-1.39850375564274e-15,3.64150840983799e-28,1.41516871465487e-15,6.72492399913129e-09,-7.17470473650041e-16,1.56421820174431e-15,-2.13908145539911e-16,-1.00081418021268e-15,-4.91835139775824e-16,-1.06864643184536e-16,2.10595702489676e-14,3.82825126071327e-14,-3.8801465609093e-15,1.66379521242275e-14,4.10323539076531e-15,8.07140295505897e-16,-8.6675391586766e-15,3.27921333577121e-15,-1.0911290387318e-14,-3.60293361620011e-15,-3.10860855037805e-16,1.65705645520296e-15,1.83108177448179e-15,7.62006251376232e-16,-1.21491754831583e-13
"phi_b_bv_to_sale_abs_r",-307.103900406006,0.0882180113303419,3.07603414936431e-16,-1.39850375564274e-15,0.672998088342428,-4.30570264013187e-16,0.58949901942732,2541.2112441238,0.0511139883783922,0.0761126745981645,-0.00151517223732132,0.0138694651283182,-0.0192698278607044,0.000120806717592454,-0.804766013649188,-0.456662718851087,0.104616013677445,0.176988615507328,-1.50321467473085,0.0469984968622694,0.0079716753176041,-0.138134739052032,0.129693114101257,-0.110270152670767,-0.0428526291518433,0.0338580036335902,-0.00983625972862019,0.310175626813784,-31.0572164801492
"phi_detect",2.80678944574045e-10,-1.82855628410671e-15,-2.9032949641532e-28,3.64150840983799e-28,-4.30570264013187e-16,6.73190810844588e-28,3.45514055126821e-16,2.66187345160743e-09,-1.90055190927118e-15,-4.34120739574541e-17,3.33446400171608e-17,-4.2068567096351e-15,4.14973693190403e-17,1.60831650914524e-17,1.4979454922207e-14,2.17956972107345e-14,5.69653829590103e-15,7.04322808336574e-15,-5.17125835175632e-15,3.4983959944718e-16,-2.45231181280128e-15,3.56958948504873e-15,-7.14422560081356e-15,9.18900598669305e-15,-6.69524371149937e-16,3.50711303874456e-17,3.91227880406996e-16,1.81038497128706e-16,-3.90829803550398e-14
"phi_b_bv_to_sale_abs_d",-443.53728476872,0.145896474233051,4.54957852049183e-16,1.41516871465487e-15,0.58949901942732,3.45514055126821e-16,1.20177876992508,4981.05172570941,-0.0314191578781878,0.011018277687029,0.00337762866856501,-0.0659022802076113,-0.0244784092261622,-0.0026189185520704,-2.14181480840956,-1.4481173049492,0.109075095904702,0.259190184808483,-2.52818448310039,-0.0770585203102232,-0.647155579459281,-0.16411458812435,0.195727433317534,-0.305090511355362,-0.0321301957676981,0.00847768216696263,-0.00584770711337246,0.770835039354129,-43.8682284600153
"phi_detect_2_1",-9409497061.17096,-9721.8548117044,9.2038018025547e-09,6.72492399913129e-09,2541.2112441238,2.66187345160743e-09,4981.05172570941,90015102569.9337,-13068.5471844806,-2710.78713128726,3535.33221742547,-30667.2569157686,397.47737469988,726.628699000877,-61540.2574630995,266942.229739493,26484.2754457966,95715.2300517854,-206004.964446062,-72515.2752520619,-141385.649116264,-20802.9031942849,21265.4310862136,88740.3935401072,-5966.01409323386,2223.93567184434,15740.9739485003,2899.4141427167,-381654.678175206
"phi_fcf_fcf",-4139.00717951837,0.0863061305947394,1.58300564872477e-15,-7.17470473650041e-16,0.0511139883783922,-1.90055190927118e-15,-0.0314191578781878,-13068.5471844806,5.9234849606656,1.04355519474678,-0.103155139463349,2.91090143445182,-0.0572629487314899,0.141830529363827,5.04013033430054,1.72322064488359,0.116802107115789,-0.59304242395514,1.70298545675195,0.275738726843724,1.23789273007886,0.261437108306807,-0.107324131028082,0.685671988995097,-0.162336423499427,-0.469038436771548,-0.0961601508060546,-0.0113399284681622,1.56468047326539
"phi_fcf_ib",-247.502457291669,0.0867916938287202,2.40864471924264e-16,1.56421820174431e-15,0.0761126745981645,-4.34120739574541e-17,0.011018277687029,-2710.78713128726,1.04355519474678,2.86139747879031,-0.0936904839316519,1.49372825216242,-0.134847631481392,-0.0242473854735562,1.99062156544949,2.9698158471166,-0.103181939401087,0.120880339817198,1.95769325947298,-0.192547048641681,-0.461536799284917,0.0467916025987961,0.0786772461339079,-0.752285405234026,-0.350038685936931,1.72430968063997,-0.351638668235054,0.00431472968121645,0.0988544673702127
"phi_fcf_invest",-36.4627085012597,-0.00413170154706238,7.14141794210879e-16,-2.13908145539911e-16,-0.00151517223732132,3.33446400171608e-17,0.00337762866856501,3535.33221742547,-0.103155139463349,-0.0936904839316519,0.225685195083743,-0.122350121517204,0.0527632278754333,-0.02084973340125,-0.0194882329472494,0.131064101849907,0.293549556036485,0.157079890016691,-0.34936519118981,0.0340844790882489,-0.0446104093825342,0.0933193840673999,-0.0700433678319433,-0.0584584640799006,-0.00791896905292537,-0.0413172019213794,0.0295900813404255,-0.0033465147609576,-0.889256683697461
