"","phi_sw_sale_gr3","phi_rho_y","phi_invest_to_sale","phi_restate","phi_b_bv_to_sale_abs_r","phi_detect","phi_b_bv_to_sale_abs_d","phi_detect_2_1","phi_fcf_fcf","phi_fcf_ib","phi_fcf_invest","phi_ib_ib","phi_ib_invest","phi_invest_invest","phi_fcf_fcf_d","phi_fcf_ib_d","phi_fcf_invest_d","phi_fcf_b_d","phi_ib_ib_d","phi_ib_invest_d","phi_ib_b_d","phi_invest_invest_d","phi_invest_b_d","phi_b_b_d","phi_beta_lag","phi_beta","phi_beta_lead","phi_bv_bv_d","phi_skew_bv_d"
"phi_sw_sale_gr3",899760895.197785,-248.973599837948,-6.90023552925323e-11,8.9099587134579e-12,-20.0833314106849,-5.21887205730246e-11,-121.603339070815,109290813.052256,-2106.83041985979,-1421.89902677432,-105.705617781811,638.443666727791,68.5657586991535,60.1100633112514,4156.59190094661,-72.5898123797557,25.289751295472,-185.973101980314,85.2823909872197,-106.44093032963,-149.728716847016,21.6461911454715,-220.885361885194,394.868981421907,635.565993875535,-515.680187302538,555.280240168811,-8.96411495918072,-28511.3523251354
"phi_rho_y",-248.973599837948,4.62823413603597,-6.18554239774761e-16,-6.66471757764672e-17,-0.000579158294928506,6.84667921989979e-17,-0.0390962519837617,1034.01772934204,-0.0326455983694725,0.0300083323973906,0.0214926452558473,0.0669804265348731,-0.0495433756130423,0.0112129284208927,-0.20108097714919,-0.0626402464047626,-0.022449641629016,-0.163442710210594,-0.157197005301409,-0.00282894177404468,-0.0131437158348718,0.00390421040098755,-0.00606270198678639,0.0973284305113892,-0.0369610185741603,-0.00877976178427956,-0.0692553729869381,0.00575643063153812,-9.83047182282693
"phi_invest_to_sale",-6.90023552925323e-11,-6.18554239774761e-16,4.95503652284571e-29,-1.9847627708485e-30,1.36811652608289e-18,6.11279146872535e-30,5.63182412295099e-17,-2.56130042825073e-11,8.23544575328899e-17,-3.1678119247806e-16,1.21149861839611e-16,-4.40514006625184e-16,1.4122420602254e-16,-4.79136631119833e-17,-2.93900810519804e-15,-8.07113929922314e-16,-1.9471492154556e-17,-7.26439982585985e-17,-1.36896645828754e-15,-2.05155633423917e-16,5.2141517482851e-16,-6.84510826356835e-18,-1.72678712829391e-16,-9.13639220069101e-17,-5.32235722943553e-17,-3.67340785355081e-16,-2.70669934098312e-16,-4.63190520817121e-18,-1.08603258521042e-15
"phi_restate",8.9099587134579e-12,-6.66471757764672e-17,-1.9847627708485e-30,2.23693548264309e-29,-4.28014663153801e-17,-1.56959335313001e-30,-1.61769710267127e-17,2.48510076648752e-12,-2.76665782760193e-16,-7.88221452266523e-17,-2.54927680886224e-17,6.95588106365729e-17,1.69411146167877e-18,1.3666526829555e-18,-9.67537163610273e-16,-1.80923705810837e-15,-1.99569456575745e-18,2.62253992064692e-16,3.48998310898927e-15,4.22963602011205e-17,-6.88938899145795e-18,-1.43358184138739e-17,1.64003282217039e-18,-4.94607366246851e-16,6.3734253572382e-17,-2.20621460286873e-17,-1.18792229178112e-16,-1.73028700832977e-18,-5.48489344112812e-16
"phi_b_bv_to_sale_abs_r",-20.0833314106849,-0.000579158294928506,1.36811652608289e-18,-4.28014663153801e-17,0.00351434596970104,5.1471393463184e-19,0.00609534016714276,227.390893492508,9.50324084441129e-06,0.00389043830064483,-0.000312464588412346,0.00137587205757273,-0.000147238520745033,2.09880320385541e-05,0.0316046330674235,0.0606466816017173,0.00376750272991457,0.0233839161221543,0.0212163999124136,0.00451252779764729,-0.00549778598280757,-0.00101181339378866,0.0011684717742552,-0.0519694008988529,-0.000584641006275636,0.00163168149035579,-0.00122176554288651,0.000147816683238898,0.271118660771793
"phi_detect",-5.21887205730246e-11,6.84667921989979e-17,6.11279146872535e-30,-1.56959335313001e-30,5.1471393463184e-19,2.75669304479126e-29,-6.1008839535442e-17,3.27013863524857e-11,-8.19978756677053e-17,2.24367885836272e-16,2.73261244202694e-17,-1.18811243651755e-16,5.26803679991336e-18,5.62430770122484e-19,-8.90322873986322e-16,-1.191524271422e-15,-6.69167398382637e-17,1.00781234148489e-16,-2.50897120163055e-15,3.06948366079591e-16,1.3178960982634e-15,-6.04023919478407e-17,1.33647712258282e-16,-3.40562204140989e-16,-1.43512905155208e-16,1.52214113277094e-16,8.37411155862934e-17,-4.79975415834447e-18,-8.51562846669903e-16
"phi_b_bv_to_sale_abs_d",-121.603339070815,-0.0390962519837617,5.63182412295099e-17,-1.61769710267127e-17,0.00609534016714276,-6.1008839535442e-17,0.2015077500352,1249.81264520012,-0.00571320144909023,-0.00580239857066505,0.000355721272315723,-0.00894856995372468,0.000517507173165919,0.000146830315732011,0.10151302355119,-0.0951631636385381,-0.0158337617305327,0.135313899440923,-0.255019437627091,0.0181654239750058,0.0225055970700202,0.014152136324087,0.00122992032992395,-0.535224856774895,0.0114971661805606,-0.00275885738540334,-0.00108730223395455,0.00166404743011465,46.4386879988744
"phi_detect_2_1",109290813.052256,1034.01772934204,-2.56130042825073e-11,2.48510076648752e-12,227.390893492508,3.27013863524857e-11,1249.81264520012,20038344205.0438,5521.1515505465,-5665.00101491754,805.108554136952,-11128.2795125169,2312.86532168797,-76.5284548882409,30354.0841701296,-299824.199192306,35528.9240821023,99744.5168789153,-496511.829343771,70646.338170171,227142.635316114,-3746.78595103846,-23657.3738673057,-16069.0787175924,7709.27069244786,-3038.3636076284,-7561.12030702733,424.897373663932,95833.3476878597
"phi_fcf_fcf",-2106.83041985979,-0.0326455983694725,8.23544575328899e-17,-2.76665782760193e-16,9.50324084441129e-06,-8.19978756677053e-17,-0.00571320144909023,5521.1515505465,3.63327954274925,0.312435548311581,-0.0458974396384376,0.530078857298831,0.00321581715108805,0.00712700121922256,4.13570360980753,1.20876839683491,0.117077843542155,0.100333218567764,0.443332233378726,0.0580188632103521,-0.226918800261262,-0.000137405781204253,-0.043062756532504,-0.116965575515217,-0.0698457372077143,-0.100952389837304,-0.0205842932605237,-0.000588928375207289,0.693530634987527
"phi_fcf_ib",-1421.89902677432,0.0300083323973906,-3.1678119247806e-16,-7.88221452266523e-17,0.00389043830064483,2.24367885836272e-16,-0.00580239857066505,-5665.00101491754,0.312435548311581,1.97640891025632,0.0204605510090256,0.502388706949004,-0.0404306958390501,0.0036279598136811,1.20950804626891,2.61491042854776,0.0666792073169373,-0.0144017062623495,1.29257100008905,-0.0652677029152464,-0.234952016875921,-0.0020414968986685,-0.0162111975583542,-0.170790743694319,-0.416328687804952,0.975473099070928,-0.269468962010506,-0.00029511911195694,-0.769995970659743
