"","phi_sw_sale_gr3","phi_rho_y","phi_invest_to_sale","phi_restate","phi_b_bv_to_sale_abs_r","phi_detect","phi_b_bv_to_sale_abs_d","phi_detect_2_1","phi_fcf_fcf","phi_fcf_ib","phi_fcf_invest","phi_ib_ib","phi_ib_invest","phi_invest_invest","phi_fcf_fcf_d","phi_fcf_ib_d","phi_fcf_invest_d","phi_fcf_b_d","phi_ib_ib_d","phi_ib_invest_d","phi_ib_b_d","phi_invest_invest_d","phi_invest_b_d","phi_b_b_d","phi_beta_lag","phi_beta","phi_beta_lead","phi_bv_bv_d","phi_skew_bv_d"
"phi_sw_sale_gr3",899760895.197785,-248.973599837948,-6.90023552925323e-11,8.49660161338523e-11,-6.96458553331894,-1.84553685640128e-11,-37.9002799137876,274888510.98849,-2106.83041985979,-1421.89902677432,-105.705617781811,638.443666727791,68.5657586991535,60.1100633112514,492.592295647162,-2869.26832376414,-417.600900815447,-2417.47466193987,205.789560512977,-390.439470792275,-1309.75348397485,22.0738450109491,-320.376292664075,475.701297414612,635.565993875535,-515.680187302538,555.280240168811,-1.31620728933834,-19256.6077493213
"phi_rho_y",-248.973599837948,4.62823413603597,-6.18554239774761e-16,-2.7116954229817e-16,-0.000443253597544708,-2.80834994202485e-17,-0.0275601364940246,252.360461502966,-0.0326455983694725,0.0300083323973906,0.0214926452558473,0.0669804265348731,-0.0495433756130423,0.0112129284208927,-0.110391606637266,0.0147078376307074,-0.00283157162373818,-0.0591056167473268,-0.170299684288832,0.00811424728747032,0.00879736583840222,0.00237327345623146,0.00089827448407695,0.070982207737381,-0.0369610185741603,-0.00877976178427956,-0.0692553729869381,0.00374433920824883,-9.73665090719635
"phi_invest_to_sale",-6.90023552925323e-11,-6.18554239774761e-16,4.95503652284571e-29,-1.08808144379296e-29,1.59243279357441e-18,1.88751045905912e-30,7.78289022043161e-17,-4.02761364235392e-11,8.23544575328899e-17,-3.1678119247806e-16,1.21149861839611e-16,-4.40514006625184e-16,1.4122420602254e-16,-4.79136631119833e-17,-2.67086103576661e-15,-7.17704335111441e-16,1.28877215004459e-17,-3.16225012592192e-16,-1.18475437853407e-15,-1.3983734161774e-16,-5.56320067841708e-17,-2.86810903793086e-18,-7.95997183917236e-17,9.04515034914187e-16,-5.32235722943553e-17,-3.67340785355081e-16,-2.70669934098312e-16,2.29221256981411e-18,6.29837461104282e-15
"phi_restate",8.49660161338523e-11,-2.7116954229817e-16,-1.08808144379296e-29,4.4326563927967e-29,-3.23169920486166e-17,-3.68420755963375e-30,-2.0081025899425e-17,5.25166906678479e-11,-3.86466646887835e-16,-1.60616977823897e-16,-2.34570548124484e-17,1.36065225717302e-16,1.9705877004695e-17,-3.30793970585124e-19,8.24346472031378e-16,3.02764995850087e-15,-6.80791970950282e-18,2.26854727546613e-16,4.27159582930723e-15,-1.09973735008965e-16,-2.38171882954554e-16,-3.93715824752413e-18,3.33296726639453e-19,-7.01763793336989e-16,-4.83312387933038e-17,-2.93966183370187e-16,-8.57100243860791e-17,-2.78468695387631e-18,-6.55813485423059e-16
"phi_b_bv_to_sale_abs_r",-6.96458553331894,-0.000443253597544708,1.59243279357441e-18,-3.23169920486166e-17,0.00181299868809693,-1.25252483880156e-18,0.002879126332815,12.3901576303786,0.000141495883454825,0.00246384809177442,-0.000186533611041806,0.000677175158798329,-9.32840512642011e-05,2.70222142752195e-05,0.0117342920498864,0.0220316914883984,0.00171156888574408,0.0051647965910804,0.0098547572691072,0.00228462154155818,-0.00830449665968495,-0.000329288029968046,9.00973802662607e-05,-0.0285359079431156,-0.000265513983925283,0.000861913219048283,-0.000913584664572932,8.25688530218378e-05,0.0907056821179781
"phi_detect",-1.84553685640128e-11,-2.80834994202485e-17,1.88751045905912e-30,-3.68420755963375e-30,-1.25252483880156e-18,6.81554899319608e-29,1.06557192569457e-16,-3.877113565254e-11,8.02490135833549e-16,-1.2868325487756e-16,-6.00577481120536e-17,1.02417210024898e-16,-5.74597582463564e-17,-8.02488716507144e-18,-1.15834110328072e-15,-3.84290429618047e-15,-1.46659301257088e-15,-5.72275905026564e-15,4.70463874339152e-15,-8.40618130442854e-16,-3.74018472288961e-15,6.86074870799541e-17,4.37349374407256e-16,6.17369456928183e-15,-1.16095887502718e-16,-8.03566363994751e-17,1.37545138462592e-16,2.51338833490648e-17,4.01794070622891e-14
"phi_b_bv_to_sale_abs_d",-37.9002799137876,-0.0275601364940246,7.78289022043161e-17,-2.0081025899425e-17,0.002879126332815,1.06557192569457e-16,0.115692854082753,60.9495154324297,-0.00442648998198595,-0.00720927580284603,0.000351226605996606,-0.0116155956304297,0.000396219425097324,2.91095567291108e-05,0.0607499550000389,-0.155220447643847,-0.00359092563857468,0.00293132941194719,-0.28352267099263,0.00940192061186552,-0.127281878585601,0.00521687264831156,0.019690345081142,0.252982747165058,0.00898912296110246,-0.00584040974738573,-0.00550373576035057,0.00330917435643625,29.251890744099
"phi_detect_2_1",274888510.98849,252.360461502966,-4.02761364235392e-11,5.25166906678479e-11,12.3901576303786,-3.877113565254e-11,60.9495154324297,547578339.150281,-59.2463003116195,-1137.12579641362,81.025772970677,-1093.3629718588,253.514001717097,4.95659537583087,12535.6147990698,-22864.0765344207,3896.85849388652,13199.6305922745,-44350.8287116451,6404.41433883523,19933.6698775477,-489.829264050762,-1870.65661665195,-1431.30687107075,1312.15383920249,-581.13966312419,-1080.73076789292,21.7999408687114,2517.26310045842
"phi_fcf_fcf",-2106.83041985979,-0.0326455983694725,8.23544575328899e-17,-3.86466646887835e-16,0.000141495883454825,8.02490135833549e-16,-0.00442648998198595,-59.2463003116195,3.63327954274925,0.312435548311581,-0.0458974396384376,0.530078857298831,0.00321581715108805,0.00712700121922256,4.35706354107154,0.898122577626012,0.0670427383465385,0.139198052463587,0.630154422583236,0.0538406427014525,0.0966430703284652,0.00310372186267399,-0.0293261238492603,-0.199245064823524,-0.0698457372077143,-0.100952389837304,-0.0205842932605237,-0.00126411517551059,-0.347467750160011
"phi_fcf_ib",-1421.89902677432,0.0300083323973906,-3.1678119247806e-16,-1.60616977823897e-16,0.00246384809177442,-1.2868325487756e-16,-0.00720927580284603,-1137.12579641362,0.312435548311581,1.97640891025632,0.0204605510090256,0.502388706949004,-0.0404306958390501,0.0036279598136811,0.809987863571574,2.87125279850952,0.0542753213240176,0.461210698269584,1.38060301501028,-0.100112846584388,0.0897352679316175,0.00301347886147768,-0.0415977642196745,-0.117776398523224,-0.416328687804952,0.975473099070928,-0.269468962010506,-0.00049523028765654,-0.849338823998797
"phi_fcf_invest",-105.705617781811,0.0214926452558473,1.21149861839611e-16,-2.34570548124484e-17,-0.000186533611041806,-6.00577481120536e-17,0.000351226605996606,81.025772970677,-0.0458974396384376,0.0204605510090256,0.0621944624864987,-0.020250340541164,0.0101596830689704,-0.00104937049281504,0.0615651263459568,0.0304637420567662,0.0474988541268875,-0.0415932351467033,-0.0781557402454504,0.0126994774258125,-0.0468146041624526,-0.000820894621920814,-0.0053531652816087,0.00867942541120907,-0.00997607220086655,0.0118047929272935,0.00124434381740583,-3.76391611967872e-05,-0.177822588436649
"phi_ib_ib",638.443666727791,0.0669804265348731,-4.40514006625184e-16,1.36065225717302e-16,0.000677175158798329,1.02417210024898e-16,-0.0116155956304297,-1093.3629718588,0.530078857298831,0.502388706949004,-0.020250340541164,2.47366960858725,-0.010083632039145,0.0226544055073209,0.57958233422748,1.28548677259149,-0.0748708330224006,0.266930449338495,2.64677477474442,-0.0836508237940699,0.122826909246302,-0.000558128766895118,-0.0120390726711339,-0.237327837128051,-0.0869613285064404,0.149357412516538,-0.118131356840467,-0.00268401188755821,-1.32295159935937
"phi_ib_invest",68.5657586991535,-0.0495433756130423,1.4122420602254e-16,1.9705877004695e-17,-9.32840512642011e-05,-5.74597582463564e-17,0.000396219425097324,253.514001717097,0.00321581715108805,-0.0404306958390501,0.0101596830689704,-0.010083632039145,0.0568976587930674,-0.00552992195937797,0.035042841862953,-0.107250039997042,0.0128409297975517,-0.0456320257254998,-0.0958092406787612,0.0252793279831144,-0.0189874973730785,-0.000736501552032244,0.00356582572150697,-0.00795391603275886,0.000931249262956123,-0.024337218158931,-0.00153023527763441,-1.40858397477312e-05,0.0289821990368727
