"","phi_sw_sale_gr3","phi_rho_y","phi_invest_to_sale","phi_restate","phi_b_bv_to_sale_abs_r","phi_detect","phi_b_bv_to_sale_abs_d","phi_detect_2_1","phi_fcf_fcf","phi_fcf_ib","phi_fcf_invest","phi_ib_ib","phi_ib_invest","phi_invest_invest","phi_fcf_fcf_d","phi_fcf_ib_d","phi_fcf_invest_d","phi_fcf_b_d","phi_ib_ib_d","phi_ib_invest_d","phi_ib_b_d","phi_invest_invest_d","phi_invest_b_d","phi_b_b_d","phi_beta_lag","phi_beta","phi_beta_lead","phi_bv_bv_d","phi_skew_bv_d"
"phi_sw_sale_gr3",759907003.573206,-718.403114954043,9.49840458073014e-11,1.54505384426154e-10,-100.299845737244,2.08009167577059e-10,33.5539318328911,-4239121746.88295,46.6325159283862,-826.294519678238,-24.1686162461924,191.351980634863,-93.6096356151425,14.4564736308222,1606.58120962004,5754.93979308714,-519.591744953226,4674.38512332036,-2157.9775955956,328.808214111703,-6061.23877832194,108.493543553379,808.003152244068,-1984.51805755784,199.594485029474,193.278577235764,676.854595105818,103.931270219698,-1358.86296319263
"phi_rho_y",-718.403114954043,6.77043812197145,-2.88382947040902e-15,-3.48802499217708e-15,0.0655334877498886,3.50325347553893e-16,0.114304481369872,-8793.02071518034,0.00764388285852627,0.0151627466728241,-0.00111405674802307,0.0360235793306785,-0.0317970889791896,-0.00871173956966697,-0.170422111986734,-0.329558598204715,0.00177519354267182,-0.178104332802138,-0.575986613223862,0.0517831668392271,-0.251629428394549,0.0444507087819287,-0.0273495101298785,-0.372385882221085,0.0525965733617521,0.0713620801114303,0.127510852088122,0.0526898278327248,-11.7825381036627
"phi_invest_to_sale",9.49840458073014e-11,-2.88382947040902e-15,1.06899562456768e-27,2.55281932152081e-28,-2.20873634910543e-15,1.98416448398823e-28,-3.09499654780966e-15,-2.18479193293496e-09,4.41859638203781e-16,-1.77081411722268e-15,5.30121090361503e-16,-1.0238987411719e-15,6.38954664770299e-16,-3.72501955542233e-16,8.5627071632673e-15,2.41519811853019e-15,8.00789203956078e-16,-3.19844184770777e-15,-9.5845521795377e-15,-2.90248816294467e-16,-1.35547523634678e-15,6.12001159447218e-16,-8.63115808165284e-16,-5.73159847182803e-15,-1.21237691321874e-16,-1.13680465157766e-15,2.10236692341685e-16,-1.43658780584635e-15,3.44791324093806e-13
"phi_restate",1.54505384426154e-10,-3.48802499217708e-15,2.55281932152081e-28,2.70598920350818e-27,-1.79414544529707e-15,6.48654204139562e-28,-3.11321842463826e-15,-5.73025600404622e-09,1.21830253192333e-15,-3.2069840782874e-16,5.21610677427853e-17,-7.54526366167743e-16,-5.72363369882751e-17,1.58968116249589e-16,1.30401233964214e-14,1.69376824340104e-14,-3.02321723550288e-15,9.7646016250101e-15,-7.81783383719227e-15,-7.99434761342156e-15,-1.65689155337857e-14,2.61645719707543e-15,1.79761598997501e-15,-6.00403283548273e-14,-7.91960043378768e-16,-5.9296369211057e-16,-1.07801718036707e-16,-1.29011374639638e-15,2.94692639899066e-13
"phi_b_bv_to_sale_abs_r",-100.299845737244,0.0655334877498886,-2.20873634910543e-15,-1.79414544529707e-15,0.366380777461656,-2.0832915419492e-16,0.369345013117838,-2717.98341838072,0.00525955091555348,0.0540592394928729,-0.00657813839878533,0.033141742866053,-0.00950355189480177,0.00362725114149159,-0.671849947595323,-0.0964932192165893,-0.00934092299673681,0.166376792669264,-0.400800495307986,0.0340460837617251,0.312344365400343,-0.0139672425428023,0.0290282593933385,-0.0343670971979959,-0.0186413370285507,0.0329406194714772,0.00124338478105027,0.158210844256957,-28.1593579176966
"phi_detect",2.08009167577059e-10,3.50325347553893e-16,1.98416448398823e-28,6.48654204139562e-28,-2.0832915419492e-16,1.5148844169411e-27,-7.04204095587406e-16,-5.58958917824218e-09,5.09205837268326e-15,-2.86797203388329e-16,-1.24163887414935e-16,1.27443022241451e-15,9.60325674632703e-18,8.77762938845537e-18,3.66100416093691e-14,4.96593010617009e-15,8.05176907229897e-16,-1.40838363466722e-14,-1.60013469469185e-14,-8.5538734892879e-15,9.60999448783989e-15,3.02458976479726e-15,-4.71524520443894e-15,1.63531985010723e-14,-2.23324688000437e-16,-7.54222473393001e-16,2.40460250125918e-16,-6.14234474636581e-16,1.17168223261481e-13
"phi_b_bv_to_sale_abs_d",33.5539318328911,0.114304481369872,-3.09499654780966e-15,-3.11321842463826e-15,0.369345013117838,-7.04204095587406e-16,0.715911212618134,-4812.82316143304,-0.0427486901658408,0.0297308081889796,-0.0119650914619269,-0.0194998944356689,-0.0100825113647916,0.0069279811102912,-1.34545299906461,-0.535192927594913,0.0602934513428711,0.337189459418852,-1.00382017997697,0.0499707320951957,-0.0944513816865312,-0.0267203140270813,0.00555335974000402,-0.296174093559671,-0.0197397168722629,0.0250879719680389,0.00684817668459542,0.356251735038188,-39.3436975603144
"phi_detect_2_1",-4239121746.88295,-8793.02071518034,-2.18479193293496e-09,-5.73025600404622e-09,-2717.98341838072,-5.58958917824218e-09,-4812.82316143304,273980629015.682,-43718.8953791144,-1682.16281909209,-792.252634961085,11890.5569948935,450.109691183782,-1315.29845268332,-178449.272777713,39252.5182687105,-27387.0761412248,261374.658083199,-81395.117995431,-17840.6482168479,254017.598502868,1891.33401155129,-55611.2208924987,281723.956931533,12260.4934653452,5012.39390233592,1618.62875591501,-680.374470046631,206315.233912496
"phi_fcf_fcf",46.6325159283862,0.00764388285852627,4.41859638203781e-16,1.21830253192333e-15,0.00525955091555348,5.09205837268326e-15,-0.0427486901658408,-43718.8953791144,6.02740497464032,0.852500591033292,-0.0756320083527101,2.42225252131618,-0.0146837975335686,0.0108595552741506,5.6222197074638,0.940136283280295,0.0440270460228691,-0.905729540020543,0.910603739095697,0.0302778116053802,0.334668151075691,0.046858340743887,0.117525435327802,0.0521123605331538,-0.207148767552652,-0.386622726322813,-0.144626907637469,-0.0147571079037948,3.62761939681495
"phi_fcf_ib",-826.294519678238,0.0151627466728241,-1.77081411722268e-15,-3.2069840782874e-16,0.0540592394928729,-2.86797203388329e-16,0.0297308081889796,-1682.16281909209,0.852500591033292,2.74248500342876,-0.0315401736680967,1.24424798614821,-0.0675920515083893,0.0170348292363289,1.35858061208736,2.84705499573821,-0.111008154915571,-0.30508398012464,1.80885737609939,-0.11707069397887,-0.224519011783995,0.0441749691265455,0.0376032300813105,-0.386568988436408,-0.249843819326213,1.66619862531503,-0.197302295901531,0.0111019859795821,-1.62544842358267
