"","phi_sw_sale_gr3","phi_rho_y","phi_invest_to_sale","phi_restate","phi_b_bv_to_sale_abs_r","phi_detect","phi_b_bv_to_sale_abs_d","phi_detect_2_1","phi_fcf_fcf","phi_fcf_ib","phi_fcf_invest","phi_ib_ib","phi_ib_invest","phi_invest_invest","phi_fcf_fcf_d","phi_fcf_ib_d","phi_fcf_invest_d","phi_fcf_b_d","phi_ib_ib_d","phi_ib_invest_d","phi_ib_b_d","phi_invest_invest_d","phi_invest_b_d","phi_b_b_d","phi_beta_lag","phi_beta","phi_beta_lead","phi_bv_bv_d","phi_skew_bv_d"
"phi_sw_sale_gr3",1.52201416167428e+35,3105855613875018,-1209748784673738,746634535767228,-2108213260258369,200603541078592,-696939259054357,-6.5664575051509e+32,-11371633489679802,-2234872761217799,-235965848845942,-25777937641852320,851660969912525,-1332564543033196,-132533979584890736,12742869196289524,-8595187737864877,30685871166393752,91691799786697.8,5570303879699385,25997245873317536,-1484109419451028,7363617132152813,-21128059299831752,1921473178605704,1470691559517299,-1908775392813037,-288986720222651,62259915652575344
"phi_rho_y",3105855613875018,3.43899070230513,0.00284672632875414,-0.00211052770078652,0.0177040530907302,-0.000965661661138892,-0.0142369822250303,1243747290576688,0.00221155116520897,-0.00506178526484452,-0.000974389621953708,-0.0100443676665223,-0.00573496659672463,0.00515608029654279,-0.0250614848161835,-0.0934219314800321,-0.00225970659165719,0.0599009069442395,-0.132623732168906,0.0327228607606404,0.0107074818512202,0.00323198936984647,-0.0121921121598795,-0.0479925033040755,0.03673384520738,0.0257062910806573,0.0407125807704879,-0.0101816096094922,0.815068619537992
"phi_invest_to_sale",-1209748784673738,0.00284672632875414,0.0274880933698174,-0.000488224256645967,8.16751329774932e-05,-0.000100249725118064,-0.00545014234819563,840068081390083,-0.00235162870987492,0.00027744047191702,-0.000959877664396338,0.000563396223075869,-0.00136075928007732,0.00193177893192095,0.0277806350279426,0.0131696916911708,-0.00279292057279552,-0.0180171833608665,0.0129237251512466,0.00336586694062387,-0.0402470384981912,-0.00204648849543253,0.00535046455001345,-0.0168444897093515,-0.00204998790093075,-0.000162734467731093,0.0010268033228513,-0.00438650502934929,-0.752750393936842
"phi_restate",746634535767228,-0.00211052770078652,-0.000488224256645967,0.013346441298883,0.00361546480081473,0.00532748920134586,0.00140306855457232,-1952559587106266,0.00178149052474157,-0.000749750064104262,0.000116660165614154,-0.00222649163075204,0.000136575627423808,-0.000260607826052779,0.012239294633369,0.021592104161061,-0.00108087241061782,0.0630443613567484,-0.0160660319716766,0.0019882040767481,0.0287755253928744,0.00154800896033919,0.000194929704392128,-0.0501118767911305,0.00116918558881169,-0.000811514907540741,-0.00118417455182961,0.00089716970514564,0.0678595237351632
"phi_b_bv_to_sale_abs_r",-2108213260258369,0.0177040530907302,8.16751329774932e-05,0.00361546480081473,0.327202025950816,0.00160048735175623,0.33610031985181,-12172840508606448,0.00390464638230212,0.00763532999379848,-0.000249927490350229,-8.56707133343472e-05,-0.00151111417328566,0.000408072693018279,-0.721251563182281,-0.409009525963757,0.0689400978871726,0.0504443944013866,-0.686221473640474,0.0201405274514337,-0.00203329642547879,-0.00335967086516413,0.00119594675755862,0.346341464220311,-0.00210308858082627,0.00547231474489193,0.00215761462388006,0.164107987833919,-13.1617741759661
"phi_detect",200603541078592,-0.000965661661138892,-0.000100249725118064,0.00532748920134586,0.00160048735175623,0.00765169288259827,0.000257851784172011,-2817630098340180,0.00118266811503451,0.000646062615392999,-0.000110247066077966,0.000564941614219849,-0.000199106252554965,-4.07994983015153e-05,0.00680490887126826,0.0120651347255697,-0.00195990738352522,0.0113490719235109,0.010178823549962,-0.00290897327335306,0.00489020466337814,0.000293509982680421,-0.0011517665261037,0.0258079593463367,0.000237156758557412,0.000608089546994792,0.000233428002558003,0.000306866368682378,0.0138766631291895
"phi_b_bv_to_sale_abs_d",-696939259054357,-0.0142369822250303,-0.00545014234819563,0.00140306855457232,0.33610031985181,0.000257851784172011,1.00830095955543,-38014466702716416,-0.0201494954674309,-0.0114306701452039,0.00191776932252917,-0.0192530697039634,0.000624434995642183,-9.41655855552549e-05,-2.16375468954684,-1.22702857789127,0.206820293661518,0.15133318320416,-2.05866442092142,0.0604215823543012,-0.0060998892764363,-0.0100790125954924,0.00358784027267584,1.03902439266093,-0.00142342748070615,-0.00630627213298239,-0.00198001759137162,0.492323963501756,-39.4853225278982
"phi_detect_2_1",-6.5664575051509e+32,1243747290576688,840068081390083,-1952559587106266,-12172840508606448,-2817630098340180,-38014466702716416,4.16174198336053e+34,3286345667293106,-708051290307233,45306715850987.5,1058563520391700,168824896448996,153525073102397,397489131782918912,-54389687033760776,234703706447370,-256090106172993504,57166274533937288,24112884812058692,40143841418832408,8660574742818407,-17499000618482828,-199358671687358048,-187756440769470,-1049570434002567,574903150171024,-27078237796855368,-2498951621641837056
"phi_fcf_fcf",-11371633489679802,0.00221155116520897,-0.00235162870987492,0.00178149052474157,0.00390464638230212,0.00118266811503451,-0.0201494954674309,3286345667293106,2.68853913818776,0.503893238988811,-0.0280087874407784,0.592037405128054,-0.00216140615410761,0.00323696589925214,3.13353309895271,0.641089542998323,-0.0603581864297366,-0.34936165872443,0.318792855911886,-0.012646070887227,0.00689764577821856,-0.0029183335928862,0.0323713868324638,0.220038998628471,-0.0268749895183315,-0.0403406725245,-0.00813453203532883,-0.00882638184153051,0.73033708478659
"phi_fcf_ib",-2234872761217799,-0.00506178526484452,0.00027744047191702,-0.000749750064104262,0.00763532999379848,0.000646062615392999,-0.0114306701452039,-708051290307233,0.503893238988811,1.92949544181475,-0.0149586955424232,0.586685932603424,-0.0258800754253871,0.00426749507024308,0.639932638762163,2.42018750525054,-0.0742748703804293,0.412156703781758,0.988739278566747,-0.0932169216094288,-0.252319125336309,0.0137261156168725,0.0294251289258744,-0.189456654139174,-0.153657354797606,1.1853568005708,-0.12073803141837,-0.00311230881342366,0.626289915158546
