"","","N"
"mom_sw_sale_gr3",0.0796269313912847,11868
"mom_rho_y",0.101367416019834,11868
"mom_invest_to_sale",0.309719111970159,11868
"mom_restate",0.0113751263902932,11868
"mom_b_bv_to_sale_abs_r",0.0355699165748832,11868
"mom_detect",0.00446579036063364,11868
"mom_b_bv_to_sale_abs_d",0.0446784122890269,11868
"mom_detect_2_1",0.888888888888889,11868
"mom_fcf_fcf",1.16401816998445,11868
"mom_fcf_ib",0.214010838707964,11868
"mom_fcf_invest",-0.00676081099181555,11868
"mom_ib_ib",0.971250008257244,11868
"mom_ib_invest",-0.0048107608295343,11868
"mom_invest_invest",0.0245025680854551,11868
"mom_fcf_fcf_d",1.58831199336687,11868
"mom_fcf_ib_d",0.33385284152115,11868
"mom_fcf_invest_d",-0.0401341775623605,11868
"mom_fcf_b_d",0.0169798504368451,11868
"mom_ib_ib_d",1.3738512047153,11868
"mom_ib_invest_d",0.00109591365174154,11868
"mom_ib_b_d",0.0601157684944446,11868
"mom_invest_invest_d",0.0184425921189017,11868
"mom_invest_b_d",5.12661095095311e-05,11868
"mom_b_b_d",0.956840682312297,11868
"mom_beta_lag",0.0867698864661453,11868
"mom_beta",0.222047479971956,11868
"mom_beta_lead",0.00657643224921392,11868
"mom_bv_bv_d",0.0117387263153845,11868
"mom_skew_bv_d",5.13392417506181,11868
