"","","N"
"mom_sw_sale_gr3",0.150884382208594,18146
"mom_rho_y",0.304744695745187,18146
"mom_invest_to_sale",0.321128183106631,18146
"mom_restate",0.0279400418825085,18146
"mom_b_bv_to_sale_abs_r",0.065888016208985,18146
"mom_detect",0.00931334729416951,18146
"mom_b_bv_to_sale_abs_d",0.0691673015797225,18146
"mom_detect_2_1",0.354838709677419,18146
"mom_fcf_fcf",1.29528840628182,18146
"mom_fcf_ib",0.272787115636321,18146
"mom_fcf_invest",-0.0156881888660931,18146
"mom_ib_ib",1.09011882084755,18146
"mom_ib_invest",-0.0131848904791489,18146
"mom_invest_invest",0.0388021785594752,18146
"mom_fcf_fcf_d",1.5893750275005,18146
"mom_fcf_ib_d",0.386439637413544,18146
"mom_fcf_invest_d",-0.0229913681547201,18146
"mom_fcf_b_d",-0.0540298263073814,18146
"mom_ib_ib_d",1.41325587359345,18146
"mom_ib_invest_d",-0.0447390711419473,18146
"mom_ib_b_d",0.243453105404969,18146
"mom_invest_invest_d",0.036727540194496,18146
"mom_invest_b_d",-0.0119660670526739,18146
"mom_b_b_d",1.16928060382981,18146
"mom_beta_lag",0.11022124823607,18146
"mom_beta",0.272078210073623,18146
"mom_beta_lead",0.0406678611004309,18146
"mom_bv_bv_d",0.0230652988664898,18146
"mom_skew_bv_d",3.80921002654833,18146
