"","","N"
"mom_sw_sale_gr3",0.150884382208594,18146
"mom_rho_y",0.304744695745187,18146
"mom_invest_to_sale",0.321128183106631,18146
"mom_restate",0.0415518571586024,18146
"mom_b_bv_to_sale_abs_r",0.0559130807049833,18146
"mom_detect",0.0142731180425438,18146
"mom_b_bv_to_sale_abs_d",0.0617447332555347,18146
"mom_detect_2_1",0.470588235294118,18146
"mom_fcf_fcf",1.29528840628182,18146
"mom_fcf_ib",0.272787115636321,18146
"mom_fcf_invest",-0.0156881888660931,18146
"mom_ib_ib",1.09011882084755,18146
"mom_ib_invest",-0.0131848904791489,18146
"mom_invest_invest",0.0388021785594752,18146
"mom_fcf_fcf_d",1.64488345917267,18146
"mom_fcf_ib_d",0.397718742818842,18146
"mom_fcf_invest_d",-0.0199375112794148,18146
"mom_fcf_b_d",-0.0946243268167609,18146
"mom_ib_ib_d",1.30631828076628,18146
"mom_ib_invest_d",-0.0283186911900943,18146
"mom_ib_b_d",0.155421029739083,18146
"mom_invest_invest_d",0.036956031285614,18146
"mom_invest_b_d",-0.00487442156211816,18146
"mom_b_b_d",1.07022213109767,18146
"mom_beta_lag",0.11022124823607,18146
"mom_beta",0.272078210073623,18146
"mom_beta_lead",0.0406678611004309,18146
"mom_bv_bv_d",0.0210805825062165,18146
"mom_skew_bv_d",3.98546408822389,18146
